date,open,high,low,close
2025-06-10,19400.000,19500.000,19070.000,19190.000
2025-06-11,19200.000,19525.000,19200.000,19400.000
2025-06-12,19435.000,19490.000,19355.000,19460.000
2025-06-13,19455.000,19520.000,19330.000,19430.000
2025-06-16,19400.000,19480.000,19355.000,19470.000
2025-06-17,19500.000,19630.000,19440.000,19565.000
2025-06-18,19590.000,19740.000,19580.000,19730.000
2025-06-19,19720.000,19840.000,19620.000,19780.000
2025-06-20,19715.000,19780.000,19625.000,19640.000
2025-06-23,19665.000,19800.000,19640.000,19680.000
2025-06-24,19700.000,19740.000,19520.000,19625.000
2025-06-25,19625.000,19700.000,19530.000,19700.000
2025-06-26,19700.000,19750.000,19640.000,19715.000
2025-06-27,19705.000,19885.000,19705.000,19790.000
2025-06-30,19835.000,19835.000,19715.000,19800.000
2025-07-01,19785.000,19860.000,19720.000,19825.000
2025-07-02,19830.000,19945.000,19810.000,19885.000
2025-07-03,19880.000,19985.000,19880.000,19965.000
2025-07-04,19950.000,19965.000,19825.000,19885.000
2025-07-07,19885.000,19885.000,19685.000,19750.000
2025-07-08,19755.000,19895.000,19735.000,19850.000
2025-07-09,19855.000,19885.000,19770.000,19830.000
2025-07-10,19820.000,20000.000,19780.000,19940.000
2025-07-11,19945.000,20050.000,19915.000,19930.000
2025-07-14,19880.000,19950.000,19700.000,19805.000
2025-07-15,19790.000,19830.000,19720.000,19790.000
2025-07-16,19785.000,19865.000,19750.000,19820.000
2025-07-17,19780.000,19875.000,19755.000,19845.000
2025-07-18,19810.000,19950.000,19810.000,19875.000
2025-07-21,19885.000,20225.000,19885.000,20165.000
2025-07-22,20125.000,20300.000,20125.000,20280.000
2025-07-23,20300.000,20350.000,20080.000,20155.000
2025-07-24,20150.000,20210.000,20060.000,20135.000
2025-07-25,20135.000,20205.000,20090.000,20135.000
2025-07-28,20110.000,20170.000,19960.000,20025.000
2025-07-29,20050.000,20090.000,19990.000,20020.000
2025-07-30,19945.000,20085.000,19945.000,20070.000
2025-07-31,20090.000,20095.000,19910.000,19950.000
2025-08-01,19950.000,19950.000,19850.000,19920.000
2025-08-04,19870.000,19975.000,19800.000,19930.000
2025-08-05,19915.000,20020.000,19865.000,20005.000
2025-08-06,20010.000,20100.000,19945.000,20075.000
2025-08-07,20160.000,20215.000,20115.000,20135.000
2025-08-08,19980.000,20115.000,19980.000,20110.000
2025-08-11,20110.000,20165.000,20050.000,20135.000
2025-08-12,20090.000,20160.000,20020.000,20140.000
2025-08-13,20210.000,20270.000,20165.000,20200.000
2025-08-14,20175.000,20195.000,20080.000,20140.000
2025-08-15,20115.000,20225.000,20115.000,20165.000
2025-08-18,20250.000,20250.000,19950.000,20090.000
2025-08-19,20100.000,20145.000,20025.000,20095.000
2025-08-20,20050.000,20095.000,20000.000,20075.000
2025-08-21,20090.000,20185.000,20075.000,20125.000
2025-08-22,20130.000,20240.000,20105.000,20175.000
2025-08-25,20170.000,20340.000,20170.000,20330.000
2025-08-26,20320.000,20325.000,20260.000,20265.000
2025-08-27,20270.000,20555.000,20270.000,20365.000
