date,open,high,low,close
2024-06-17,2425.5,2425.5,2425.5,2425.5
2024-06-18,2416.5,2416.5,2416.5,2416.5
2024-06-20,2441.75,2441.75,2441.75,2441.75
2024-06-21,2432.25,2432.25,2432.25,2432.25
2024-06-24,2423.0,2423.0,2423.0,2423.0
2024-06-25,2421.25,2421.25,2421.25,2421.25
2024-06-26,2434.5,2434.5,2434.5,2434.5
2024-06-27,2434.75,2436.0,2434.75,2436.0
2024-06-28,2457.25,2457.25,2457.25,2457.25
2024-07-01,2457.25,2457.25,2439.75,2444.25
2024-07-02,2450.0,2450.0,2450.0,2450.0
2024-07-03,2483.75,2483.75,2483.75,2483.75
2024-07-05,2457.5,2457.5,2457.5,2457.5
2024-07-08,2457.0,2458.0,2456.25,2456.25
2024-07-09,2419.25,2420.25,2419.25,2420.25
2024-07-10,2409.0,2410.0,2400.0,2400.0
2024-07-11,2390.25,2390.25,2390.25,2390.25
2024-07-12,2388.25,2388.25,2388.25,2388.25
2024-07-15,2362.0,2362.0,2362.0,2362.0
2024-07-16,2314.5,2314.5,2314.5,2314.5
2024-07-17,2313.25,2313.25,2313.25,2313.25
2024-07-18,2292.75,2292.75,2292.75,2292.75
2024-07-19,2263.5,2263.5,2263.5,2263.5
2024-07-22,2210.5,2210.5,2210.5,2210.5
2024-07-23,2211.5,2211.5,2211.5,2211.5
2024-07-24,2219.0,2219.0,2219.0,2219.0
2024-07-25,2188.0,2188.0,2188.0,2188.0
2024-07-26,2212.0,2212.0,2212.0,2212.0
2024-07-29,2163.5,2163.5,2163.5,2163.5
2024-07-30,2125.0,2125.0,2125.0,2125.0
2024-07-31,2189.0,2189.0,2189.0,2189.0
2024-08-01,2176.25,2176.25,2176.25,2176.25
2024-08-02,2155.0,2155.0,2155.0,2155.0
2024-08-05,2134.75,2134.75,2134.75,2134.75
2024-08-06,2181.0,2181.0,2181.0,2181.0
2024-08-07,2177.25,2177.25,2177.25,2177.25
2024-08-08,2167.0,2167.0,2167.0,2167.0
2024-08-09,2181.75,2182.25,2181.75,2182.25
2024-08-12,2199.0,2199.0,2199.0,2199.0
2024-08-13,2211.0,2211.0,2211.0,2211.0
2024-08-14,2211.0,2211.0,2211.0,2211.0
2024-08-15,2237.0,2237.0,2237.0,2237.0
2024-08-16,2235.5,2235.5,2235.5,2235.5
2024-08-19,2308.75,2308.75,2308.75,2308.75
2024-08-20,2357.0,2357.0,2357.0,2357.0
2024-08-21,2346.75,2346.75,2346.75,2346.75
2024-08-22,2350.25,2350.25,2350.25,2350.25
2024-08-23,2419.5,2419.5,2419.5,2419.5
2024-08-26,2412.5,2412.5,2412.5,2412.5
2024-08-27,2418.25,2418.25,2418.25,2418.25
2024-08-28,2363.0,2363.0,2363.0,2363.0
2024-08-29,2344.75,2344.75,2344.75,2344.75
2024-08-30,2367.5,2367.5,2342.5,2342.5
2024-09-03,2294.5,2294.5,2294.5,2294.5
2024-09-04,2288.0,2309.25,2279.25,2293.0
2024-09-05,2269.5,2269.5,2269.5,2269.5
2024-09-06,2269.25,2289.5,2258.0,2258.0
2024-09-09,2257.5,2257.5,2257.5,2257.5
2024-09-10,2259.5,2259.5,2259.5,2259.5
2024-09-11,2297.5,2300.0,2297.5,2300.0
2024-09-12,2334.5,2334.5,2334.5,2334.5
2024-09-13,2380.0,2380.0,2380.0,2380.0
2024-09-16,2437.25,2437.5,2432.0,2437.5
2024-09-17,2430.25,2430.25,2430.25,2430.25
2024-09-18,2437.5,2437.5,2418.5,2437.5
2024-09-19,2463.25,2463.25,2463.25,2463.25
2024-09-20,2402.25,2402.25,2402.25,2402.25
2024-09-23,2408.0,2408.0,2408.0,2408.0
2024-09-24,2484.5,2484.5,2484.5,2484.5
2024-09-25,2451.75,2465.0,2451.75,2451.75
2024-09-26,2543.0,2543.0,2543.0,2543.0
2024-09-27,2579.0,2579.0,2579.0,2579.0
2024-09-30,2534.25,2534.25,2534.25,2534.25
2024-10-01,2564.75,2564.75,2564.75,2564.75
2024-10-02,2580.5,2580.5,2580.5,2580.5
2024-10-03,2551.25,2551.25,2551.25,2551.25
2024-10-04,2583.75,2583.75,2583.75,2583.75
2024-10-07,2590.5,2590.5,2590.5,2590.5
2024-10-08,2496.25,2496.25,2496.25,2496.25
2024-10-09,2463.0,2463.0,2463.0,2463.0
2024-10-10,2520.75,2520.75,2520.75,2520.75
2024-10-11,2569.75,2569.75,2569.75,2569.75
2024-10-14,2533.75,2533.75,2533.75,2533.75
2024-10-15,2508.0,2515.5,2500.0,2515.5
2024-10-16,2525.25,2525.25,2525.25,2525.25
2024-10-17,2503.75,2503.75,2503.75,2503.75
2024-10-18,2566.25,2566.25,2566.25,2566.25
2024-10-21,2541.5,2541.5,2541.5,2541.5
2024-10-22,2574.5,2574.5,2574.5,2574.5
2024-10-23,2612.25,2612.25,2612.25,2612.25
2024-10-24,2597.25,2597.25,2597.25,2597.25
2024-10-25,2629.0,2629.0,2629.0,2629.0
2024-10-28,2590.5,2590.5,2590.5,2590.5
2024-10-29,2606.0,2606.0,2606.0,2606.0
2024-10-30,2594.5,2594.5,2563.0,2563.0
2024-10-31,2560.5,2560.5,2560.5,2560.5
2024-11-01,2535.25,2546.25,2524.5,2546.25
2024-11-04,2543.75,2560.75,2542.75,2560.75
2024-11-05,2616.75,2616.75,2616.75,2616.75
2024-11-06,2548.75,2548.75,2548.75,2548.75
2024-11-07,2654.5,2654.5,2652.0,2654.5
2024-11-08,2561.75,2561.75,2561.75,2561.75
2024-11-11,2502.5,2502.5,2502.5,2502.5
2024-11-12,2471.0,2473.0,2471.0,2471.0
2024-11-13,2462.0,2465.0,2452.25,2452.25
2024-11-14,2428.5,2428.5,2428.5,2428.5
2024-11-15,2566.75,2566.75,2566.75,2566.75
2024-11-18,2535.5,2535.5,2535.5,2535.5
2024-11-19,2574.25,2575.25,2548.0,2575.25
2024-11-20,2573.25,2573.25,2573.25,2573.25
2024-11-21,2570.5,2570.5,2570.5,2570.5
2024-11-22,2556.0,2556.0,2556.0,2556.0
2024-11-25,2580.75,2580.75,2580.75,2580.75
