date,open,high,low,close
2023-07-28,10750.000,10880.000,10560.000,10755.000
2023-07-31,10790.000,11105.000,10765.000,10985.000
2023-08-01,10990.000,11045.000,10855.000,10970.000
2023-08-02,10980.000,11125.000,10910.000,11115.000
2023-08-03,11110.000,11450.000,11105.000,11320.000
2023-08-04,11390.000,11440.000,11250.000,11360.000
2023-08-07,11390.000,11420.000,11255.000,11385.000
2023-08-08,11510.000,11510.000,11270.000,11280.000
2023-08-09,11225.000,11380.000,11175.000,11365.000
2023-08-10,11365.000,11375.000,11220.000,11230.000
2023-08-11,11200.000,11380.000,11200.000,11335.000
2023-08-14,11335.000,11370.000,11230.000,11300.000
2023-08-15,11295.000,11420.000,11285.000,11320.000
2023-08-16,11300.000,11350.000,11230.000,11295.000
2023-08-17,11300.000,11380.000,11250.000,11315.000
2023-08-18,11330.000,11445.000,11270.000,11275.000
2023-08-21,11285.000,11420.000,11275.000,11420.000
2023-08-22,11430.000,11560.000,11320.000,11440.000
2023-08-23,11420.000,11725.000,11405.000,11530.000
2023-08-24,11550.000,11670.000,11520.000,11580.000
2023-08-25,11610.000,11900.000,11545.000,11875.000
2023-08-28,11900.000,12200.000,11820.000,11935.000
2023-08-29,11945.000,12115.000,11825.000,12070.000
2023-08-30,12030.000,12145.000,11950.000,12100.000
2023-08-31,12130.000,12180.000,12020.000,12145.000
2023-09-01,12250.000,13295.000,12190.000,13295.000
2023-09-04,13900.000,14440.000,13590.000,13680.000
2023-09-05,13745.000,14575.000,13570.000,14385.000
2023-09-06,14300.000,14600.000,14020.000,14180.000
2023-09-07,14200.000,14285.000,13465.000,14080.000
2023-09-08,14080.000,14360.000,13515.000,13550.000
2023-09-11,13625.000,13855.000,13340.000,13675.000
2023-09-12,13745.000,14240.000,13730.000,14140.000
2023-09-13,14140.000,14170.000,13590.000,13745.000
2023-09-14,13820.000,13950.000,13580.000,13920.000
2023-09-15,14000.000,14065.000,13710.000,13860.000
2023-09-18,13900.000,13980.000,13665.000,13855.000
2023-09-19,13895.000,14030.000,13725.000,13740.000
