date,open,high,low,close
2024-06-17,4.471,4.526,4.471,4.5215
2024-06-18,4.45,4.562,4.45,4.562
2024-06-20,4.605,4.618,4.592,4.618
2024-06-21,4.5975,4.5975,4.479,4.494
2024-06-24,4.48,4.527,4.4765,4.527
2024-06-25,4.5115,4.5115,4.3675,4.381
2024-06-26,4.3635,4.3675,4.363,4.3675
2024-06-27,4.359,4.3655,4.305,4.3285
2024-06-28,4.3265,4.416,4.319,4.3905
2024-07-01,4.3885,4.4335,4.3625,4.4265
2024-07-02,4.424,4.474,4.4005,4.4295
2024-07-03,4.4525,4.5645,4.4525,4.541
2024-07-05,4.544,4.68,4.544,4.6585
2024-07-08,4.609,4.6675,4.6075,4.622
2024-07-09,4.6165,4.647,4.559,4.578
2024-07-10,4.5805,4.646,4.5625,4.6075
2024-07-11,4.6005,4.611,4.5055,4.5085
2024-07-12,4.5195,4.5985,4.49,4.5985
2024-07-15,4.57,4.5735,4.51,4.529
2024-07-16,4.5115,4.5135,4.43,4.444
2024-07-17,4.4255,4.4275,4.393,4.399
2024-07-18,4.3985,4.3985,4.266,4.266
2024-07-19,4.252,4.261,4.218,4.219
2024-07-22,4.219,4.221,4.1475,4.1805
2024-07-23,4.1455,4.149,4.137,4.146
2024-07-24,4.133,4.138,4.099,4.099
2024-07-25,4.0605,4.1325,4.0605,4.1125
2024-07-26,4.1125,4.127,4.088,4.1045
2024-07-29,4.065,4.065,4.0495,4.062
2024-07-30,4.061,4.076,4.0265,4.063
2024-07-31,4.0765,4.179,4.0695,4.16
2024-08-01,4.111,4.111,4.0505,4.0665
2024-08-02,4.1075,4.11,4.084,4.084
2024-08-05,4.1,4.1,3.926,3.984
2024-08-06,3.95,4.0115,3.95,4.0115
2024-08-07,3.9685,3.9685,3.928,3.9375
2024-08-08,3.9175,3.9615,3.9175,3.945
2024-08-09,3.966,4.014,3.966,3.98
2024-08-12,4.02,4.071,4.0195,4.055
2024-08-13,4.036,4.036,4.036,4.036
2024-08-14,4.0505,4.052,4.025,4.025
2024-08-15,4.0285,4.144,4.0285,4.139
2024-08-16,4.0945,4.1275,4.0945,4.1275
2024-08-19,4.166,4.1695,4.1645,4.1665
2024-08-20,4.1755,4.191,4.139,4.1495
2024-08-21,4.174,4.1845,4.174,4.1815
2024-08-22,4.198,4.198,4.139,4.141
2024-08-23,4.194,4.2045,4.194,4.1945
2024-08-26,4.1995,4.2145,4.1995,4.2115
2024-08-27,4.2435,4.244,4.2305,4.2305
2024-08-28,4.22,4.22,4.145,4.145
2024-08-29,4.145,4.178,4.1045,4.1475
2024-08-30,4.1805,4.196,4.1425,4.145
2024-09-03,4.149,4.1545,3.993,4.032
2024-09-04,4.031,4.043,3.99,4.0195
2024-09-05,4.027,4.1035,3.982,4.0775
2024-09-06,4.079,4.114,4.0045,4.0145
2024-09-09,4.046,4.096,4.046,4.0845
2024-09-10,4.08,4.08,4.033,4.0405
2024-09-11,4.058,4.103,4.058,4.083
