date,open,high,low,close
2024-06-17,448.0,450.0,443.25,443.75
2024-06-18,444.25,452.0,443.75,450.0
2024-06-20,448.25,449.5,439.25,439.75
2024-06-21,440.0,442.5,434.25,435.0
2024-06-24,435.0,436.0,425.0,433.5
2024-06-25,433.5,434.5,423.5,425.5
2024-06-26,425.0,430.0,418.75,420.0
2024-06-27,420.0,421.25,413.5,413.75
2024-06-28,414.0,419.0,390.5,397.25
2024-07-01,397.25,401.25,391.75,398.25
2024-07-02,398.25,403.75,398.25,402.0
2024-07-03,402.25,405.0,399.0,403.5
2024-07-05,406.0,412.0,405.5,411.25
2024-07-08,411.75,411.75,394.5,395.75
2024-07-09,400.25,406.75,397.0,400.25
2024-07-10,399.75,405.75,399.75,403.25
2024-07-11,411.0,411.0,406.75,406.75
2024-07-12,395.75,400.0,395.25,400.0
2024-07-15,403.0,403.0,389.5,390.5
2024-07-16,390.0,398.0,390.0,395.75
2024-07-17,395.75,400.0,395.0,398.0
2024-07-18,398.0,399.0,390.0,391.25
2024-07-19,391.0,396.25,390.0,390.5
2024-07-22,391.0,401.0,391.0,400.25
2024-07-23,399.0,407.0,397.25,402.5
2024-07-24,401.5,409.5,399.0,403.75
2024-07-25,403.0,408.75,402.0,406.0
2024-07-26,405.75,406.5,394.0,394.5
2024-07-29,392.75,397.0,390.0,396.25
2024-07-30,396.0,396.75,387.25,388.75
2024-07-31,387.75,390.5,381.0,382.75
2024-08-01,382.5,384.0,378.0,382.0
2024-08-02,383.0,387.75,381.75,386.5
2024-08-05,385.75,391.75,378.75,390.75
2024-08-06,390.75,393.0,385.75,388.75
2024-08-07,387.75,388.0,381.75,383.25
2024-08-08,383.0,386.5,378.5,379.25
2024-08-09,379.0,381.25,375.25,376.75
2024-08-12,376.25,385.25,372.5,383.25
2024-08-13,382.75,385.0,376.25,377.75
2024-08-14,377.25,382.0,376.0,381.0
2024-08-15,380.75,383.5,374.5,375.0
2024-08-16,374.5,375.75,367.75,370.5
2024-08-19,370.25,378.5,370.0,378.0
2024-08-20,377.75,378.5,374.75,375.0
2024-08-21,374.75,378.0,374.0,375.5
2024-08-22,375.5,376.5,370.75,371.5
2024-08-23,371.0,374.0,367.25,367.75
2024-08-26,367.25,367.5,360.5,362.0
2024-08-27,361.5,369.25,360.75,367.25
2024-08-28,367.0,367.75,362.25,365.25
2024-08-29,364.25,372.75,363.75,371.75
2024-08-30,371.25,378.75,371.0,378.0
2024-09-03,378.0,386.75,376.5,386.5
2024-09-04,385.5,391.25,383.0,390.5
2024-09-05,389.0,390.0,386.75,390.0
2024-09-06,389.75,395.25,383.0,383.75
2024-09-09,383.75,385.25,381.0,384.25
2024-09-10,382.75,382.75,379.5,379.5
2024-09-11,379.75,381.25,377.0,380.5
2024-09-12,380.5,387.5,380.5,386.25
2024-09-13,381.25,394.0,381.0,390.75
2024-09-16,413.0,413.0,408.5,410.75
2024-09-17,410.0,413.0,408.5,412.5
2024-09-18,412.0,415.0,411.0,412.75
2024-09-19,412.25,413.0,405.25,405.75
2024-09-20,406.0,407.25,401.5,401.75
2024-09-23,401.5,414.25,401.25,413.5
2024-09-24,413.0,418.25,410.0,411.75
2024-09-25,411.75,415.5,408.5,415.25
2024-09-26,414.75,419.25,412.5,413.25
2024-09-27,413.0,419.75,410.75,418.0
2024-09-30,416.5,427.75,415.5,424.75
2024-10-01,423.5,432.5,421.75,429.0
2024-10-02,428.5,434.25,428.5,432.5
2024-10-03,431.5,433.25,427.5,428.25
2024-10-04,427.5,427.5,423.0,424.75
2024-10-07,424.0,427.0,421.25,426.0
2024-10-08,426.0,428.0,419.25,420.75
2024-10-09,420.25,423.5,420.0,421.0
