date,open,high,low,close
2014-03-21,3252.000,3336.000,3230.000,3324.000
2014-03-24,3314.000,3330.000,3266.000,3330.000
2014-03-25,3326.000,3400.000,3320.000,3378.000
2014-03-26,3370.000,3382.000,3354.000,3376.000
2014-03-27,3368.000,3386.000,3350.000,3362.000
2014-03-28,3376.000,3386.000,3360.000,3382.000
2014-03-31,3396.000,3422.000,3382.000,3410.000
2014-04-01,3412.000,3418.000,3396.000,3414.000
2014-04-02,3410.000,3426.000,3388.000,3390.000
2014-04-03,3384.000,3414.000,3382.000,3410.000
2014-04-04,3412.000,3440.000,3402.000,3440.000
2014-04-08,3450.000,3488.000,3442.000,3480.000
2014-04-09,3488.000,3488.000,3444.000,3452.000
2014-04-10,3450.000,3470.000,3442.000,3446.000
2014-04-11,3430.000,3452.000,3430.000,3434.000
2014-04-14,3432.000,3464.000,3432.000,3438.000
2014-04-15,3442.000,3448.000,3418.000,3448.000
2014-04-16,3446.000,3448.000,3410.000,3418.000
2014-04-17,3428.000,3428.000,3410.000,3412.000
2014-04-18,3410.000,3412.000,3346.000,3354.000
2014-04-21,3340.000,3364.000,3340.000,3340.000
2014-04-22,3340.000,3366.000,3324.000,3354.000
2014-04-23,3358.000,3388.000,3336.000,3380.000
2014-04-24,3376.000,3396.000,3366.000,3390.000
2014-04-25,3398.000,3400.000,3372.000,3378.000
2014-04-28,3372.000,3378.000,3334.000,3336.000
2014-04-29,3334.000,3374.000,3334.000,3360.000
2014-04-30,3370.000,3370.000,3338.000,3344.000
2014-05-01,3332.000,3332.000,3332.000,3332.000
2014-05-05,3334.000,3362.000,3224.000,3352.000
2014-05-06,3342.000,3364.000,3336.000,3344.000
2014-05-07,3338.000,3358.000,3330.000,3332.000
2014-05-08,3330.000,3338.000,3310.000,3312.000
2014-05-09,3312.000,3330.000,3302.000,3318.000
2014-05-12,3332.000,3336.000,3298.000,3336.000
2014-05-13,3336.000,3346.000,3320.000,3326.000
2014-05-14,3326.000,3330.000,3314.000,3324.000
2014-05-15,3324.000,3328.000,3298.000,3300.000
2014-05-16,3294.000,3300.000,3240.000,3272.000
2014-05-19,3262.000,3284.000,3250.000,3264.000
2014-05-20,3260.000,3276.000,3254.000,3262.000
2014-05-21,3264.000,3284.000,3254.000,3274.000
2014-05-22,3272.000,3314.000,3272.000,3280.000
2014-05-23,3286.000,3294.000,3276.000,3282.000
2014-05-26,3288.000,3330.000,3282.000,3326.000
2014-05-27,3332.000,3370.000,3320.000,3340.000
2014-05-28,3300.000,3342.000,3300.000,3312.000
2014-05-29,3308.000,3324.000,3300.000,3308.000
2014-05-30,3300.000,3308.000,3252.000,3264.000
2014-06-03,3256.000,3290.000,3246.000,3268.000
2014-06-04,3268.000,3276.000,3260.000,3262.000
2014-06-05,3268.000,3284.000,3252.000,3270.000
2014-06-06,3276.000,3282.000,3260.000,3282.000
2014-06-09,3278.000,3282.000,3254.000,3262.000
2014-06-10,3262.000,3272.000,3230.000,3268.000
2014-06-11,3270.000,3278.000,3254.000,3260.000
2014-06-12,3252.000,3260.000,3230.000,3246.000
2014-06-13,3238.000,3258.000,3230.000,3248.000
2014-06-16,3250.000,3250.000,3216.000,3226.000
2014-06-17,3218.000,3246.000,3208.000,3238.000
2014-06-18,3240.000,3276.000,3232.000,3264.000
2014-06-19,3266.000,3280.000,3260.000,3264.000
