date,open,high,low,close
2013-10-18,978.000,984.000,962.000,977.000
2013-10-21,976.000,977.000,960.000,969.000
2013-10-22,963.000,966.000,948.000,948.000
2013-10-23,949.000,953.000,936.000,939.000
2013-10-24,938.000,939.000,916.000,926.000
2013-10-25,928.000,936.000,917.000,918.000
2013-10-28,920.000,928.000,917.000,923.000
2013-10-29,924.000,925.000,913.000,921.000
2013-10-30,919.000,930.000,916.000,924.000
2013-10-31,925.000,927.000,920.000,922.000
2013-11-01,921.000,954.000,921.000,942.000
2013-11-04,943.000,957.000,942.000,950.000
2013-11-05,948.000,954.000,943.000,946.000
2013-11-06,949.000,951.000,942.000,944.000
2013-11-07,945.000,947.000,939.000,945.000
2013-11-08,947.000,948.000,936.000,939.000
2013-11-11,940.000,944.000,934.000,942.000
2013-11-12,940.000,944.000,936.000,943.000
2013-11-13,941.000,952.000,940.000,943.000
2013-11-14,940.000,944.000,937.000,937.000
2013-11-15,939.000,942.000,930.000,931.000
2013-11-18,931.000,935.000,925.000,932.000
2013-11-19,931.000,943.000,930.000,942.000
2013-11-21,942.000,943.000,932.000,932.000
2013-11-22,934.000,935.000,929.000,931.000
2013-11-25,933.000,936.000,928.000,933.000
2013-11-26,934.000,943.000,934.000,941.000
2013-11-27,940.000,942.000,933.000,936.000
2013-11-28,933.000,940.000,933.000,939.000
2013-11-29,939.000,945.000,939.000,939.000
2013-12-02,940.000,941.000,934.000,936.000
2013-12-03,938.000,941.000,936.000,939.000
2013-12-04,942.000,955.000,941.000,952.000
2013-12-05,953.000,956.000,944.000,945.000
2013-12-06,944.000,945.000,938.000,941.000
2013-12-09,941.000,946.000,940.000,945.000
2013-12-10,946.000,947.000,942.000,942.000
2013-12-11,942.000,942.000,934.000,937.000
2013-12-12,936.000,938.000,930.000,930.000
2013-12-13,927.000,927.000,905.000,914.000
2013-12-16,913.000,923.000,912.000,918.000
2013-12-17,918.000,920.000,908.000,910.000
2013-12-18,908.000,913.000,902.000,906.000
2013-12-19,909.000,913.000,907.000,908.000
2013-12-20,909.000,913.000,901.000,905.000
2013-12-23,904.000,905.000,885.000,893.000
2013-12-24,892.000,907.000,892.000,900.000
2013-12-25,903.000,904.000,898.000,903.000
2013-12-26,903.000,904.000,885.000,896.000
2013-12-27,898.000,910.000,896.000,907.000
2013-12-30,908.000,920.000,908.000,911.000
2013-12-31,908.000,914.000,899.000,911.000
2014-01-02,912.000,912.000,899.000,907.000
2014-01-03,904.000,905.000,887.000,902.000
2014-01-06,900.000,900.000,888.000,893.000
2014-01-07,892.000,899.000,887.000,896.000
2014-01-08,895.000,897.000,884.000,892.000
2014-01-09,891.000,899.000,884.000,888.000
2014-01-10,885.000,886.000,870.000,881.000
2014-01-13,879.000,880.000,868.000,871.000
2014-01-14,875.000,881.000,866.000,880.000
2014-01-15,880.000,882.000,875.000,879.000
