date,open,high,low,close
2013-03-22,1280.000,1304.000,1257.000,1267.000
2013-03-25,1276.000,1286.000,1251.000,1258.000
2013-03-26,1255.000,1276.000,1249.000,1272.000
2013-03-27,1279.000,1279.000,1260.000,1261.000
2013-03-28,1264.000,1273.000,1248.000,1259.000
2013-03-29,1257.000,1268.000,1231.000,1240.000
2013-04-01,1235.000,1242.000,1202.000,1202.000
2013-04-02,1197.000,1231.000,1192.000,1228.000
2013-04-03,1225.000,1233.000,1214.000,1216.000
2013-04-08,1199.000,1223.000,1197.000,1220.000
2013-04-09,1222.000,1232.000,1213.000,1223.000
2013-04-10,1225.000,1227.000,1211.000,1215.000
2013-04-11,1209.000,1225.000,1202.000,1206.000
2013-04-12,1206.000,1220.000,1203.000,1209.000
2013-04-15,1191.000,1195.000,1164.000,1174.000
2013-04-16,1160.000,1180.000,1151.000,1179.000
2013-04-17,1182.000,1189.000,1148.000,1165.000
2013-04-18,1149.000,1169.000,1127.000,1157.000
2013-04-19,1160.000,1167.000,1148.000,1163.000
2013-04-22,1161.000,1164.000,1146.000,1146.000
2013-04-23,1151.000,1153.000,1129.000,1134.000
2013-04-24,1134.000,1158.000,1129.000,1145.000
2013-04-25,1144.000,1148.000,1137.000,1142.000
2013-04-26,1147.000,1155.000,1136.000,1138.000
2013-05-02,1123.000,1123.000,1102.000,1119.000
2013-05-03,1128.000,1138.000,1124.000,1129.000
2013-05-06,1147.000,1149.000,1135.000,1140.000
2013-05-07,1135.000,1148.000,1131.000,1134.000
2013-05-08,1133.000,1149.000,1132.000,1148.000
2013-05-09,1146.000,1150.000,1138.000,1142.000
2013-05-10,1142.000,1153.000,1137.000,1150.000
2013-05-13,1150.000,1187.000,1146.000,1178.000
2013-05-14,1179.000,1185.000,1161.000,1180.000
2013-05-15,1176.000,1180.000,1143.000,1145.000
2013-05-16,1146.000,1157.000,1125.000,1146.000
2013-05-17,1150.000,1165.000,1142.000,1163.000
2013-05-20,1161.000,1173.000,1160.000,1162.000
2013-05-21,1166.000,1171.000,1151.000,1163.000
2013-05-22,1159.000,1175.000,1158.000,1170.000
2013-05-23,1159.000,1164.000,1145.000,1145.000
2013-05-24,1149.000,1156.000,1143.000,1144.000
2013-05-27,1141.000,1141.000,1126.000,1127.000
2013-05-28,1128.000,1131.000,1119.000,1125.000
2013-05-29,1125.000,1130.000,1108.000,1111.000
2013-05-30,1103.000,1114.000,1100.000,1108.000
2013-05-31,1115.000,1115.000,1093.000,1094.000
2013-06-03,1094.000,1105.000,1084.000,1098.000
2013-06-04,1101.000,1102.000,1090.000,1102.000
2013-06-05,1105.000,1105.000,1092.000,1100.000
2013-06-06,1096.000,1096.000,1056.000,1056.000
2013-06-07,1050.000,1054.000,1032.000,1042.000
2013-06-13,1033.000,1042.000,1025.000,1035.000
2013-06-14,1039.000,1040.000,1024.000,1030.000
2013-06-17,1034.000,1059.000,1031.000,1041.000
2013-06-18,1045.000,1045.000,1035.000,1041.000
2013-06-19,1040.000,1041.000,1023.000,1033.000
2013-06-20,1025.000,1027.000,998.000,1005.000
2013-06-21,995.000,1015.000,989.000,1006.000
2013-06-24,1008.000,1018.000,996.000,998.000
2013-06-25,1001.000,1013.000,996.000,1011.000
2013-06-26,1015.000,1019.000,1000.000,1004.000
2013-06-27,1005.000,1011.000,999.000,1006.000
2013-06-28,1050.000,1062.000,1046.000,1052.000
2013-07-01,1045.000,1059.000,1028.000,1040.000
2013-07-02,1045.000,1046.000,1024.000,1034.000
2013-07-03,1033.000,1038.000,1024.000,1031.000
2013-07-04,1032.000,1048.000,1025.000,1045.000
2013-07-05,1045.000,1049.000,1042.000,1046.000
2013-07-08,1045.000,1046.000,1028.000,1037.000
2013-07-09,1037.000,1042.000,1027.000,1029.000
2013-07-10,1028.000,1066.000,1020.000,1061.000
2013-07-11,1066.000,1085.000,1058.000,1064.000
2013-07-12,1060.000,1069.000,1053.000,1053.000
2013-07-15,1051.000,1058.000,1042.000,1042.000
2013-07-16,1045.000,1049.000,1036.000,1046.000
2013-07-17,1045.000,1070.000,1044.000,1065.000
2013-07-18,1064.000,1072.000,1058.000,1071.000
2013-07-19,1075.000,1084.000,1070.000,1076.000
2013-07-22,1081.000,1089.000,1070.000,1079.000
2013-07-23,1076.000,1084.000,1075.000,1084.000
2013-07-24,1085.000,1090.000,1067.000,1077.000
2013-07-25,1073.000,1082.000,1069.000,1074.000
2013-07-26,1074.000,1077.000,1066.000,1068.000
2013-07-29,1062.000,1064.000,1050.000,1053.000
2013-07-30,1054.000,1060.000,1046.000,1053.000
2013-07-31,1050.000,1061.000,1049.000,1059.000
2013-08-01,1065.000,1074.000,1061.000,1070.000
2013-08-02,1075.000,1079.000,1071.000,1079.000
2013-08-05,1078.000,1088.000,1077.000,1084.000
2013-08-06,1085.000,1086.000,1075.000,1081.000
2013-08-07,1078.000,1087.000,1073.000,1084.000
2013-08-08,1086.000,1115.000,1086.000,1111.000
2013-08-09,1110.000,1135.000,1106.000,1132.000
2013-08-12,1138.000,1162.000,1135.000,1162.000
2013-08-13,1166.000,1183.000,1155.000,1176.000
2013-08-14,1173.000,1185.000,1160.000,1166.000
2013-08-15,1171.000,1196.000,1166.000,1172.000
2013-08-16,1170.000,1178.000,1145.000,1153.000
2013-08-19,1150.000,1181.000,1147.000,1162.000
2013-08-20,1165.000,1184.000,1157.000,1173.000
2013-08-21,1177.000,1181.000,1167.000,1174.000
2013-08-22,1171.000,1188.000,1168.000,1171.000
2013-08-23,1171.000,1196.000,1171.000,1187.000
2013-08-26,1196.000,1222.000,1194.000,1196.000
2013-08-27,1190.000,1196.000,1179.000,1183.000
2013-08-28,1183.000,1187.000,1141.000,1141.000
2013-08-29,1136.000,1144.000,1119.000,1136.000
2013-08-30,1135.000,1140.000,1121.000,1134.000
2013-09-02,1142.000,1171.000,1142.000,1165.000
2013-09-03,1167.000,1172.000,1145.000,1159.000
2013-09-04,1163.000,1167.000,1146.000,1153.000
2013-09-05,1147.000,1167.000,1147.000,1163.000
2013-09-06,1165.000,1170.000,1148.000,1156.000
2013-09-09,1164.000,1172.000,1161.000,1167.000
2013-09-10,1167.000,1168.000,1150.000,1156.000
2013-09-11,1160.000,1160.000,1150.000,1158.000
2013-09-12,1158.000,1158.000,1143.000,1145.000
2013-09-13,1143.000,1143.000,1133.000,1133.000
2013-09-16,1136.000,1147.000,1131.000,1134.000
2013-09-17,1130.000,1145.000,1122.000,1142.000
2013-09-18,1138.000,1160.000,1135.000,1160.000
2013-09-23,1154.000,1172.000,1148.000,1170.000
2013-09-24,1169.000,1176.000,1158.000,1163.000
2013-09-25,1163.000,1170.000,1156.000,1167.000
2013-09-26,1168.000,1168.000,1160.000,1163.000
2013-09-27,1163.000,1163.000,1143.000,1146.000
2013-09-30,1146.000,1155.000,1134.000,1137.000
2013-10-08,1140.000,1143.000,1113.000,1137.000
2013-10-09,1135.000,1138.000,1124.000,1129.000
2013-10-10,1125.000,1140.000,1122.000,1130.000
2013-10-11,1131.000,1139.000,1120.000,1125.000
2013-10-14,1124.000,1146.000,1123.000,1146.000
2013-10-15,1152.000,1164.000,1134.000,1138.000
2013-10-16,1140.000,1141.000,1129.000,1130.000
2013-10-17,1134.000,1137.000,1126.000,1128.000
2013-10-18,1130.000,1136.000,1126.000,1129.000
2013-10-21,1127.000,1145.000,1124.000,1142.000
2013-10-22,1141.000,1141.000,1127.000,1129.000
2013-10-23,1130.000,1131.000,1104.000,1118.000
2013-10-24,1116.000,1116.000,1095.000,1100.000
2013-10-25,1100.000,1107.000,1088.000,1091.000
2013-10-28,1094.000,1103.000,1091.000,1092.000
2013-10-29,1091.000,1094.000,1069.000,1081.000
2013-10-30,1083.000,1086.000,1075.000,1082.000
2013-10-31,1080.000,1083.000,1068.000,1068.000
2013-11-01,1068.000,1076.000,1066.000,1072.000
2013-11-04,1153.000,1157.000,1127.000,1129.000
2013-11-05,1126.000,1132.000,1115.000,1122.000
2013-11-06,1121.000,1133.000,1120.000,1123.000
2013-11-07,1078.000,1084.000,1073.000,1084.000
2013-11-08,1130.000,1137.000,1113.000,1114.000
2013-11-11,1116.000,1120.000,1110.000,1116.000
2013-11-12,1115.000,1125.000,1112.000,1122.000
2013-11-13,1120.000,1129.000,1117.000,1123.000
2013-11-14,1124.000,1133.000,1119.000,1125.000
2013-11-15,1121.000,1128.000,1116.000,1117.000
2013-11-18,1117.000,1121.000,1113.000,1116.000
2013-11-19,1114.000,1127.000,1114.000,1126.000
2013-11-21,1137.000,1139.000,1122.000,1122.000
2013-11-22,1124.000,1129.000,1121.000,1123.000
2013-11-25,1123.000,1126.000,1115.000,1119.000
2013-11-26,1118.000,1128.000,1118.000,1119.000
2013-11-27,1117.000,1119.000,1101.000,1107.000
2013-11-28,1106.000,1123.000,1106.000,1112.000
2013-11-29,1112.000,1116.000,1109.000,1113.000
2013-12-02,1113.000,1120.000,1113.000,1118.000
2013-12-03,1119.000,1121.000,1110.000,1111.000
2013-12-04,1111.000,1131.000,1111.000,1124.000
2013-12-05,1127.000,1133.000,1122.000,1125.000
2013-12-06,1125.000,1125.000,1105.000,1112.000
2013-12-09,1114.000,1118.000,1105.000,1109.000
2013-12-10,1111.000,1115.000,1109.000,1113.000
2013-12-11,1113.000,1113.000,1102.000,1105.000
2013-12-12,1104.000,1118.000,1101.000,1103.000
2013-12-13,1102.000,1103.000,1064.000,1076.000
2013-12-16,1078.000,1083.000,1076.000,1078.000
2013-12-17,1079.000,1082.000,1073.000,1076.000
2013-12-18,1075.000,1081.000,1068.000,1076.000
2013-12-19,1078.000,1082.000,1060.000,1071.000
2013-12-20,1066.000,1072.000,1045.000,1047.000
2013-12-23,1049.000,1049.000,1039.000,1044.000
2013-12-24,1046.000,1054.000,1040.000,1049.000
2013-12-25,1050.000,1060.000,1041.000,1047.000
2013-12-26,1048.000,1052.000,1041.000,1045.000
2013-12-27,1043.000,1046.000,1030.000,1035.000
2013-12-30,1034.000,1036.000,1021.000,1022.000
2013-12-31,1020.000,1023.000,1002.000,1005.000
2014-01-02,1003.000,1012.000,996.000,999.000
2014-01-03,998.000,998.000,981.000,986.000
2014-01-06,983.000,996.000,982.000,986.000
2014-01-07,987.000,1001.000,979.000,997.000
2014-01-08,996.000,1000.000,987.000,992.000
2014-01-09,990.000,1001.000,974.000,978.000
2014-01-10,979.000,987.000,974.000,984.000
2014-01-13,986.000,994.000,980.000,982.000
2014-01-14,983.000,992.000,978.000,990.000
2014-01-15,990.000,992.000,980.000,983.000
2014-01-17,970.000,971.000,959.000,963.000
2014-01-20,962.000,967.000,927.000,927.000
2014-01-21,927.000,936.000,925.000,927.000
2014-01-22,928.000,940.000,920.000,931.000
2014-01-23,933.000,944.000,930.000,937.000
2014-01-24,940.000,959.000,934.000,951.000
2014-01-27,947.000,951.000,938.000,942.000
2014-01-28,939.000,940.000,909.000,917.000
2014-01-29,920.000,936.000,916.000,929.000
2014-01-30,926.000,933.000,924.000,928.000
2014-02-07,933.000,933.000,908.000,911.000
2014-02-10,911.000,932.000,911.000,928.000
2014-02-11,927.000,929.000,917.000,917.000
2014-02-12,916.000,931.000,916.000,927.000
2014-02-13,927.000,932.000,919.000,921.000
2014-02-14,921.000,929.000,920.000,926.000
2014-02-17,925.000,953.000,921.000,947.000
2014-02-18,947.000,947.000,935.000,937.000
2014-02-19,941.000,955.000,940.000,943.000
2014-02-20,942.000,944.000,931.000,933.000
2014-02-21,936.000,939.000,928.000,932.000
2014-02-24,928.000,928.000,899.000,906.000
2014-02-25,908.000,919.000,906.000,911.000
2014-02-26,911.000,924.000,910.000,920.000
2014-02-27,920.000,922.000,913.000,917.000
2014-02-28,917.000,923.000,907.000,915.000
2014-03-03,910.000,914.000,901.000,907.000
2014-03-04,909.000,909.000,871.000,892.000
2014-03-05,894.000,900.000,884.000,892.000
2014-03-06,889.000,889.000,866.000,874.000
2014-03-10,830.000,832.000,821.000,821.000
2014-03-11,810.000,830.000,781.000,812.000
2014-03-12,822.000,866.000,818.000,858.000
2014-03-14,852.000,853.000,823.000,839.000
2014-03-17,844.000,852.000,835.000,837.000
2014-03-18,836.000,855.000,833.000,847.000
2014-03-19,848.000,851.000,838.000,843.000
2014-03-20,853.000,854.000,815.000,816.000
2014-03-21,814.000,825.000,805.000,805.000
2014-03-24,800.000,806.000,785.000,797.000
2014-03-25,793.000,825.000,789.000,825.000
2014-03-26,835.000,841.000,819.000,826.000
2014-03-27,821.000,839.000,813.000,821.000
2014-03-28,821.000,846.000,821.000,842.000
2014-03-31,842.000,857.000,834.000,836.000
2014-04-01,837.000,842.000,824.000,834.000
2014-04-02,836.000,844.000,826.000,828.000
2014-04-03,825.000,864.000,821.000,856.000
2014-04-04,858.000,882.000,855.000,878.000
2014-04-08,878.000,906.000,874.000,894.000
2014-04-09,896.000,897.000,879.000,886.000
2014-04-10,888.000,900.000,873.000,884.000
2014-04-11,880.000,882.000,872.000,876.000
2014-04-14,874.000,892.000,865.000,881.000
2014-04-15,882.000,899.000,876.000,898.000
2014-04-16,894.000,898.000,872.000,881.000
2014-04-17,880.000,885.000,870.000,873.000
2014-04-18,869.000,871.000,832.000,832.000
2014-04-21,832.000,836.000,823.000,826.000
2014-04-22,826.000,839.000,824.000,832.000
2014-04-23,836.000,846.000,809.000,842.000
2014-04-24,841.000,854.000,835.000,846.000
2014-04-25,851.000,854.000,841.000,843.000
2014-04-28,839.000,839.000,821.000,831.000
2014-04-29,831.000,845.000,828.000,837.000
2014-04-30,839.000,839.000,819.000,821.000
2014-05-01,818.000,818.000,818.000,818.000
2014-05-05,820.000,841.000,815.000,839.000
2014-05-06,840.000,848.000,835.000,839.000
