date,value
2023-07-03,302.53
2023-07-04,295.25
2023-07-05,289.36
2023-07-06,283.75
2023-07-07,277.68
2023-07-10,277.45
2023-07-11,275.01
2023-07-12,272.34
2023-07-13,281.29
2023-07-14,291.51
2023-07-17,298.99
2023-07-18,307.77
2023-07-19,312.84
2023-07-20,316.46
2023-07-21,317.59
2023-07-24,324.27
2023-07-25,327.00
2023-07-26,325.46
2023-07-27,322.48
2023-07-28,318.27
2023-07-31,320.52
2023-08-01,319.55
2023-08-02,321.41
2023-08-03,317.22
2023-08-04,315.84
2023-08-07,322.84
2023-08-08,326.79
2023-08-09,324.96
2023-08-10,325.13
2023-08-11,326.84
2023-08-14,326.65
2023-08-15,326.74
2023-08-16,326.48
2023-08-17,325.26
2023-08-18,326.31
2023-08-21,331.71
2023-08-22,342.05
2023-08-23,339.78
2023-08-24,339.66
2023-08-25,337.29
2023-08-28,339.58
2023-08-30,341.97
2023-08-31,346.44
2023-09-01,346.51
2023-09-04,344.96
2023-09-05,358.06
2023-09-06,355.65
2023-09-07,355.85
2023-09-08,354.90
2023-09-11,354.32
2023-09-14,358.58
2023-09-15,354.42
2023-09-18,354.65
2023-09-19,365.73
2023-09-20,367.26
2023-09-22,372.72
2023-09-25,374.75
2023-09-27,372.48
2023-10-09,376.59
2023-10-13,376.11
2023-10-16,374.17
2023-10-17,375.31
2023-10-18,376.80
2023-10-19,374.20
2023-10-20,375.27
2023-10-23,372.64
2023-10-24,378.24
2023-10-25,373.73
2023-10-26,370.72
2023-10-27,370.49
2023-10-30,368.89
2023-10-31,372.08
2023-11-02,369.01
2023-11-03,363.69
2023-11-07,368.52
2023-11-08,365.94
2023-11-09,367.68
2023-11-10,363.88
2023-11-13,364.12
2023-11-14,353.74
2023-11-15,353.67
2023-11-16,352.31
2023-11-17,350.74
2023-11-20,351.20
2023-11-21,353.45
2023-11-22,353.11
2023-11-23,361.98
2023-11-24,364.06
2023-11-27,366.96
2023-11-28,365.83
2023-11-29,375.34
2023-11-30,379.74
2023-12-01,378.15
2023-12-04,379.07
2023-12-05,378.98
2023-12-06,380.42
2023-12-07,378.76
2023-12-08,380.38
2023-12-11,379.52
2023-12-12,378.44
2023-12-13,376.01
2023-12-14,375.95
2023-12-15,385.81
2023-12-18,381.77
2023-12-19,380.82
2023-12-21,380.58
2023-12-22,382.61
2023-12-25,382.03
2023-12-26,381.96
2023-12-29,373.35
2024-01-02,373.50
2024-01-03,362.30
2024-01-04,350.64
2024-01-05,341.49
2024-01-08,330.85
2024-01-09,323.05
2024-01-10,312.14
2024-01-11,305.20
2024-01-12,297.17
2024-01-15,289.03
2024-01-16,282.35
2024-01-17,279.98
2024-01-18,280.42
2024-01-19,279.90
2024-01-22,280.82
2024-01-23,281.10
2024-01-24,280.01
2024-01-25,273.49
2024-01-26,272.49
2024-01-29,272.72
2024-01-30,272.54
2024-01-31,273.40
2024-02-01,271.10
2024-02-02,274.24
2024-02-04,274.98
2024-02-05,273.18
2024-02-06,271.93
2024-02-07,271.86
2024-02-19,272.80
2024-02-20,269.65
2024-02-21,270.01
2024-02-22,263.43
2024-02-23,260.68
2024-02-26,259.82
2024-02-27,260.78
2024-02-28,260.87
2024-02-29,255.94
2024-03-01,253.49
2024-03-04,253.35
2024-03-05,253.84
2024-03-06,252.57
2024-03-07,252.40
2024-03-08,255.67
2024-03-11,255.63
2024-03-12,255.53
2024-03-13,255.06
2024-03-14,257.20
2024-03-15,253.36
2024-03-18,253.90
2024-03-19,253.67
2024-03-20,251.87
2024-03-21,255.39
2024-03-22,254.54
2024-03-25,252.74
2024-03-26,253.87
2024-03-27,253.88
2024-03-28,254.30
2024-03-29,253.22
2024-04-01,254.66
2024-04-02,252.70
2024-04-03,252.62
2024-04-07,257.78
2024-04-08,261.87
2024-04-09,262.63
2024-04-10,265.43
2024-04-11,262.91
2024-04-12,269.57
2024-04-15,276.19
2024-04-16,277.66
2024-04-17,276.29
2024-04-18,275.31
2024-04-19,273.84
2024-04-30,276.16
2024-05-06,276.33
2024-05-07,279.97
2024-05-08,279.65
2024-05-09,276.70
2024-05-10,279.44
2024-05-11,287.91
2024-05-13,290.15
2024-05-14,289.76
2024-05-15,282.78
2024-05-16,281.15
2024-05-17,280.32
2024-05-20,282.80
2024-05-21,282.58
2024-05-22,281.30
2024-05-23,280.91
2024-05-24,276.57
2024-05-27,277.04
2024-05-28,277.73
2024-05-29,273.98
2024-06-05,261.49
2024-06-06,261.25
2024-06-07,264.62
2024-06-11,262.19
2024-06-12,257.74
2024-06-13,261.29
2024-06-14,257.99
2024-06-25,255.98
2024-06-26,253.28
2024-06-27,251.96
