date,value
2023-07-03,65.51
2023-07-04,64.67
2023-07-05,64.69
2023-07-06,64.33
2023-07-07,64.08
2023-07-10,63.76
2023-07-11,62.69
2023-07-12,62.08
2023-07-13,62.31
2023-07-14,62.80
2023-07-17,63.40
2023-07-18,63.56
2023-07-19,63.57
2023-07-20,63.89
2023-07-21,64.52
2023-07-24,66.36
2023-07-25,66.60
2023-07-26,66.29
2023-07-27,67.12
2023-07-28,66.25
2023-07-31,66.71
2023-08-01,66.51
2023-08-02,66.90
2023-08-03,66.44
2023-08-04,66.16
2023-08-07,66.57
2023-08-08,66.76
2023-08-09,66.39
2023-08-10,66.42
2023-08-11,66.77
2023-08-14,66.74
2023-08-15,66.75
2023-08-16,66.70
2023-08-17,66.45
2023-08-18,66.96
2023-08-21,68.34
2023-08-22,70.32
2023-08-23,69.85
2023-08-24,69.94
2023-08-25,69.46
2023-08-28,69.31
2023-08-30,70.19
2023-08-31,71.10
2023-09-01,70.91
2023-09-04,71.69
2023-09-05,74.33
2023-09-06,73.83
2023-09-07,73.87
2023-09-08,73.68
2023-09-11,73.55
2023-09-14,74.44
2023-09-15,73.58
2023-09-18,73.62
2023-09-19,73.84
2023-09-20,73.85
2023-09-22,73.54
2023-09-25,73.94
2023-09-27,73.50
2023-10-09,74.82
2023-10-13,74.62
2023-10-16,73.74
2023-10-17,73.96
2023-10-18,74.26
2023-10-19,73.74
2023-10-20,73.95
2023-10-23,73.43
2023-10-24,73.53
2023-10-25,72.74
2023-10-26,72.04
2023-10-27,72.00
2023-10-30,71.69
2023-10-31,72.31
2023-11-02,71.72
2023-11-03,71.25
2023-11-07,72.20
2023-11-08,71.69
2023-11-09,72.03
2023-11-10,71.58
2023-11-13,71.62
2023-11-14,70.56
2023-11-15,71.94
2023-11-16,71.46
2023-11-17,71.14
2023-11-20,71.24
2023-11-21,71.69
2023-11-22,71.62
2023-11-23,71.40
2023-11-24,71.22
2023-11-27,71.39
2023-11-28,70.18
2023-11-29,70.46
2023-11-30,70.72
2023-12-01,69.92
2023-12-04,70.09
2023-12-05,70.07
2023-12-06,68.97
2023-12-07,68.17
2023-12-08,66.45
2023-12-11,66.30
2023-12-12,65.12
2023-12-13,63.71
2023-12-14,63.70
2023-12-15,64.85
2023-12-18,64.18
2023-12-19,63.03
2023-12-21,62.68
2023-12-22,63.02
2023-12-25,62.92
2023-12-26,63.91
2023-12-29,63.14
2024-01-02,63.51
2024-01-03,61.34
2024-01-04,60.36
2024-01-05,60.50
2024-01-08,60.38
2024-01-09,59.60
2024-01-10,57.75
2024-01-11,57.94
2024-01-12,58.13
2024-01-15,58.11
2024-01-16,58.38
2024-01-17,57.89
2024-01-18,57.98
2024-01-19,57.88
2024-01-22,58.06
2024-01-23,58.13
2024-01-24,57.89
2024-01-25,58.21
2024-01-26,58.00
2024-01-29,58.05
2024-01-30,58.01
2024-01-31,58.19
2024-02-01,57.71
2024-02-02,58.37
2024-02-04,58.53
2024-02-05,58.15
2024-02-06,57.88
2024-02-07,57.86
2024-02-19,58.07
2024-02-20,57.32
2024-02-21,55.90
2024-02-22,55.49
2024-02-23,54.54
2024-02-26,54.36
2024-02-27,54.56
2024-02-28,54.08
2024-02-29,53.59
2024-03-01,53.00
2024-03-04,51.47
2024-03-05,51.57
2024-03-06,51.31
2024-03-07,51.27
2024-03-08,50.53
2024-03-11,49.53
2024-03-12,49.50
2024-03-13,49.42
2024-03-14,49.83
2024-03-15,49.48
2024-03-18,49.08
2024-03-19,49.03
2024-03-20,48.69
2024-03-21,49.37
2024-03-22,50.20
2024-03-25,49.85
2024-03-26,50.07
2024-03-27,50.07
2024-03-28,50.16
2024-03-29,49.94
2024-04-01,50.23
2024-04-02,50.34
2024-04-03,50.62
2024-04-07,51.56
2024-04-08,51.88
2024-04-09,52.03
2024-04-10,52.58
2024-04-11,52.08
2024-04-12,52.41
2024-04-15,53.63
2024-04-16,53.53
2024-04-17,53.26
2024-04-18,53.66
2024-04-19,53.38
2024-04-30,55.73
2024-05-06,55.77
2024-05-07,56.59
2024-05-08,56.53
2024-05-09,56.34
2024-05-10,56.48
2024-05-11,56.58
2024-05-13,56.43
2024-05-14,56.36
2024-05-15,55.97
2024-05-16,56.43
2024-05-17,56.26
2024-05-20,56.06
2024-05-21,55.01
2024-05-22,54.15
2024-05-23,54.08
2024-05-24,53.32
2024-05-27,53.41
2024-05-28,53.54
