date,value
2023-07-03,7.20
2023-07-04,7.12
2023-07-05,7.02
2023-07-06,6.98
2023-07-07,6.95
2023-07-10,6.87
2023-07-11,6.79
2023-07-12,6.62
2023-07-13,6.65
2023-07-14,6.70
2023-07-17,6.69
2023-07-18,6.71
2023-07-19,6.71
2023-07-20,6.74
2023-07-21,6.70
2023-07-24,6.73
2023-07-25,6.71
2023-07-26,6.68
2023-07-27,6.76
2023-07-28,6.58
2023-07-31,6.62
2023-08-01,6.60
2023-08-02,6.64
2023-08-03,6.50
2023-08-04,6.46
2023-08-07,6.50
2023-08-08,6.53
2023-08-09,6.39
2023-08-10,6.39
2023-08-11,6.42
2023-08-14,6.33
2023-08-15,6.23
2023-08-16,6.12
2023-08-17,6.10
2023-08-18,6.00
2023-08-21,5.99
2023-08-22,5.93
2023-08-23,5.79
2023-08-24,5.74
2023-08-25,5.70
2023-08-28,5.59
2023-08-30,5.47
2023-08-31,5.55
2023-09-01,5.53
2023-09-04,5.49
2023-09-05,5.54
2023-09-06,5.50
2023-09-07,5.51
2023-09-08,5.49
2023-09-11,5.48
2023-09-14,5.65
2023-09-15,5.58
2023-09-18,5.59
2023-09-19,5.60
2023-09-20,5.62
2023-09-22,5.70
2023-09-25,5.73
2023-09-27,5.80
2023-10-09,5.79
2023-10-13,5.91
2023-10-16,5.98
2023-10-17,6.00
2023-10-18,6.02
2023-10-19,6.08
2023-10-20,6.10
2023-10-23,6.05
2023-10-24,6.14
2023-10-25,6.12
2023-10-26,6.10
2023-10-27,6.10
2023-10-30,6.08
2023-10-31,6.13
2023-11-01,6.09
2023-11-02,6.08
2023-11-03,6.04
2023-11-07,6.12
2023-11-08,6.09
2023-11-09,6.12
2023-11-10,6.19
2023-11-13,6.19
2023-11-14,6.10
2023-11-15,6.22
2023-11-16,6.19
2023-11-17,6.17
2023-11-20,6.18
2023-11-21,6.22
2023-11-22,6.21
2023-11-23,6.19
2023-11-24,6.17
2023-11-27,6.19
2023-11-28,6.17
2023-11-29,6.21
2023-11-30,6.24
2023-12-01,6.21
2023-12-04,6.23
2023-12-05,6.22
2023-12-06,6.31
2023-12-07,6.29
2023-12-08,6.31
2023-12-11,6.30
2023-12-12,6.28
2023-12-13,6.24
