date,value
2023-07-03,36.80
2023-07-04,36.89
2023-07-05,36.91
2023-07-06,36.70
2023-07-07,36.56
2023-07-10,36.66
2023-07-11,36.74
2023-07-12,36.37
2023-07-13,36.52
2023-07-14,36.80
2023-07-17,36.74
2023-07-18,36.83
2023-07-19,36.84
2023-07-20,37.03
2023-07-21,36.81
2023-07-24,37.00
2023-07-25,36.85
2023-07-26,36.58
2023-07-27,37.04
2023-07-28,36.56
2023-07-31,36.82
2023-08-01,36.71
2023-08-02,36.92
2023-08-03,36.67
2023-08-04,36.51
2023-08-07,36.74
2023-08-08,36.85
2023-08-09,36.64
2023-08-10,36.65
2023-08-11,37.15
2023-08-14,37.13
2023-08-15,37.14
2023-08-16,37.11
2023-08-17,36.98
2023-08-18,36.98
2023-08-21,36.91
2023-08-22,37.17
2023-08-23,36.92
2023-08-24,37.24
2023-08-25,36.97
2023-08-28,36.90
2023-08-30,36.84
2023-08-31,37.32
2023-09-01,37.22
2023-09-04,36.94
2023-09-05,37.27
2023-09-06,37.02
2023-09-07,37.04
2023-09-08,36.94
2023-09-11,36.88
2023-09-14,37.12
2023-09-15,36.69
2023-09-18,36.71
2023-09-19,36.82
2023-09-20,36.97
2023-09-22,36.92
2023-09-25,37.12
2023-09-27,36.90
2023-10-09,36.81
2023-10-13,36.96
2023-10-16,36.77
2023-10-17,36.88
2023-10-18,37.03
2023-10-19,36.77
2023-10-20,36.88
2023-10-23,36.62
2023-10-24,36.97
2023-10-25,36.82
2023-10-26,36.72
2023-10-27,36.70
2023-10-30,36.54
2023-10-31,36.86
2023-11-01,36.64
2023-11-02,36.55
2023-11-03,36.32
2023-11-07,36.80
2023-11-08,36.65
2023-11-09,36.82
2023-11-10,36.64
2023-11-13,36.66
2023-11-14,36.11
2023-11-15,36.82
2023-11-16,36.68
2023-11-17,36.51
2023-11-20,36.57
2023-11-21,37.00
2023-11-22,36.97
2023-11-23,36.85
2023-11-24,36.76
2023-11-27,36.85
2023-11-28,36.73
2023-11-29,36.99
2023-11-30,37.11
2023-12-01,36.96
2023-12-04,37.05
2023-12-05,37.04
2023-12-06,36.99
2023-12-07,36.83
2023-12-08,36.98
2023-12-11,36.90
2023-12-12,36.80
2023-12-13,36.56
2023-12-14,36.55
2023-12-15,37.22
2023-12-18,36.83
2023-12-19,36.74
2023-12-21,36.71
2023-12-22,36.91
2023-12-25,36.85
2023-12-26,36.85
2023-12-29,36.98
2024-01-02,37.20
2024-01-03,36.98
2024-01-04,36.81
2024-01-05,36.90
2024-01-08,37.12
2024-01-09,37.56
2024-01-10,37.53
2024-01-11,37.66
2024-01-12,37.79
2024-01-15,37.77
2024-01-16,37.95
2024-01-17,37.63
2024-01-18,37.69
2024-01-19,37.62
2024-01-22,37.74
2024-01-23,37.88
2024-01-24,37.73
2024-01-25,37.93
2024-01-26,37.80
2024-01-29,37.83
2024-01-30,37.81
2024-01-31,37.93
2024-02-01,37.60
2024-02-02,38.04
2024-02-04,38.14
2024-02-05,37.89
2024-02-06,37.72
2024-02-07,37.91
2024-02-19,38.04
2024-02-20,37.88
2024-02-21,37.93
2024-02-22,37.99
2024-02-23,38.03
2024-02-26,38.10
2024-02-27,38.24
2024-02-28,38.45
2024-02-29,39.46
2024-03-01,40.40
2024-03-04,40.38
2024-03-05,40.96
2024-03-06,40.75
2024-03-07,40.72
2024-03-08,40.93
2024-03-11,40.92
2024-03-12,40.91
2024-03-13,40.83
2024-03-14,41.17
2024-03-15,40.88
2024-03-18,40.97
2024-03-19,40.92
2024-03-20,40.64
2024-03-21,41.16
2024-03-22,41.07
2024-03-25,40.78
2024-03-26,40.96
2024-03-27,40.46
2024-03-28,40.53
2024-03-29,40.36
2024-04-01,40.59
2024-04-02,40.28
2024-04-03,40.10
2024-04-07,40.45
2024-04-08,40.30
2024-04-09,40.42
2024-04-10,40.85
2024-04-11,40.46
2024-04-12,40.71
2024-04-15,40.50
