date,open,high,low,close
2023-07-21,238900.000,238900.000,214150.000,215100.000
2023-07-24,214500.000,214700.000,209000.000,211400.000
2023-07-25,211000.000,225900.000,211000.000,225900.000
2023-07-26,226100.000,240450.000,223050.000,227800.000
2023-07-27,234000.000,234100.000,223000.000,224900.000
2023-07-28,223800.000,230450.000,222050.000,227900.000
2023-07-31,228300.000,232850.000,227850.000,228050.000
2023-08-01,229000.000,230000.000,225700.000,228400.000
2023-08-02,228450.000,230350.000,227950.000,228550.000
2023-08-03,226000.000,230050.000,224600.000,229650.000
2023-08-04,231000.000,232600.000,228400.000,228950.000
2023-08-07,227500.000,228800.000,219500.000,219800.000
2023-08-08,219200.000,221450.000,216300.000,217000.000
2023-08-09,217450.000,218200.000,215200.000,217800.000
2023-08-10,217450.000,219000.000,210050.000,210500.000
2023-08-11,210000.000,211700.000,205300.000,208800.000
2023-08-14,207200.000,207500.000,196750.000,196750.000
2023-08-15,196000.000,198050.000,193400.000,194500.000
2023-08-16,194000.000,200300.000,192050.000,196250.000
2023-08-17,196000.000,198350.000,192250.000,194000.000
2023-08-18,195200.000,197700.000,194600.000,195750.000
2023-08-21,198000.000,203500.000,196200.000,201150.000
2023-08-22,201200.000,204350.000,197100.000,198300.000
2023-08-23,198300.000,200200.000,195600.000,200000.000
2023-08-24,200500.000,203000.000,197300.000,199450.000
2023-08-25,199700.000,200950.000,194200.000,194250.000
2023-08-28,195500.000,197900.000,183450.000,185500.000
2023-08-29,185200.000,188700.000,180700.000,186350.000
2023-08-30,188100.000,188800.000,184600.000,186100.000
2023-08-31,186800.000,187200.000,180850.000,186850.000
2023-09-01,187900.000,190650.000,185300.000,186750.000
2023-09-04,187700.000,191900.000,187150.000,189900.000
2023-09-05,191350.000,193900.000,188700.000,190450.000
2023-09-06,191000.000,192450.000,189500.000,190550.000
2023-09-07,190000.000,190100.000,183250.000,184700.000
2023-09-08,183200.000,184100.000,175550.000,176500.000
2023-09-11,176900.000,179500.000,170750.000,178650.000
2023-09-12,178850.000,181850.000,176950.000,177750.000
2023-09-13,177000.000,179250.000,174900.000,176050.000
2023-09-14,175200.000,176100.000,169150.000,169150.000
2023-09-15,170500.000,171300.000,167000.000,170100.000
