date,open,high,low,close
2024-06-17,2.846,2.848,2.759,2.788
2024-06-18,2.772,2.916,2.772,2.909
2024-06-20,2.903,2.948,2.723,2.741
2024-06-21,2.725,2.77,2.672,2.705
2024-06-24,2.67,2.834,2.635,2.811
2024-06-25,2.816,2.844,2.699,2.756
2024-06-26,2.737,2.746,2.613,2.628
2024-06-27,2.734,2.784,2.673,2.685
2024-06-28,2.702,2.765,2.594,2.601
2024-07-01,2.576,2.602,2.471,2.478
2024-07-02,2.476,2.484,2.415,2.435
2024-07-03,2.466,2.48,2.41,2.418
2024-07-05,2.421,2.44,2.315,2.319
2024-07-08,2.27,2.39,2.268,2.366
2024-07-09,2.373,2.448,2.331,2.344
2024-07-10,2.346,2.385,2.292,2.329
2024-07-11,2.326,2.343,2.261,2.268
2024-07-12,2.267,2.35,2.249,2.329
2024-07-15,2.273,2.285,2.147,2.158
2024-07-16,2.17,2.218,2.149,2.188
2024-07-17,2.181,2.208,2.015,2.035
2024-07-18,2.047,2.134,2.024,2.125
2024-07-19,2.089,2.143,2.057,2.128
2024-07-22,2.104,2.27,2.09,2.251
2024-07-23,2.245,2.265,2.123,2.187
2024-07-24,2.153,2.17,2.102,2.117
2024-07-25,2.126,2.155,2.035,2.041
2024-07-26,2.052,2.084,1.994,2.006
2024-07-29,2.016,2.056,1.856,1.907
2024-07-30,2.065,2.135,1.991,2.126
2024-07-31,2.12,2.149,2.023,2.036
2024-08-01,2.046,2.126,1.965,1.968
2024-08-02,1.985,2.023,1.92,1.967
2024-08-05,1.95,1.974,1.882,1.942
2024-08-06,1.957,2.033,1.9,2.01
2024-08-07,2.025,2.12,2.01,2.112
2024-08-08,2.1,2.179,2.028,2.127
2024-08-09,2.151,2.187,2.104,2.143
2024-08-12,2.173,2.256,2.155,2.189
2024-08-13,2.175,2.239,2.134,2.148
2024-08-14,2.16,2.276,2.144,2.219
2024-08-15,2.228,2.301,2.189,2.197
2024-08-16,2.205,2.216,2.111,2.123
2024-08-19,2.125,2.254,2.097,2.235
2024-08-20,2.246,2.278,2.173,2.198
2024-08-21,2.201,2.228,2.131,2.177
2024-08-22,2.188,2.2,2.031,2.053
2024-08-23,2.061,2.074,2.005,2.022
2024-08-26,2.004,2.022,1.944,1.956
2024-08-27,1.956,1.974,1.875,1.904
2024-08-28,1.924,2.0,1.856,1.93
2024-08-29,2.097,2.149,2.026,2.137
2024-08-30,2.145,2.171,2.093,2.127
2024-09-03,2.146,2.225,2.075,2.203
2024-09-04,2.197,2.27,2.131,2.145
2024-09-05,2.139,2.286,2.117,2.254
2024-09-06,2.261,2.294,2.232,2.275
2024-09-09,2.22,2.247,2.141,2.17
2024-09-10,2.149,2.258,2.125,2.232
2024-09-11,2.236,2.325,2.214,2.27
2024-09-12,2.286,2.394,2.229,2.357
2024-09-13,2.363,2.407,2.294,2.305
2024-09-16,2.298,2.397,2.265,2.373
2024-09-17,2.391,2.436,2.307,2.324
2024-09-18,2.312,2.377,2.275,2.284
2024-09-19,2.288,2.361,2.223,2.348
2024-09-20,2.358,2.46,2.314,2.434
2024-09-23,2.462,2.646,2.458,2.613
2024-09-24,2.634,2.674,2.535,2.551
2024-09-25,2.583,2.658,2.563,2.637
2024-09-26,2.64,2.69,2.524,2.585
2024-09-27,2.744,2.932,2.72,2.902
2024-09-30,2.899,2.948,2.865,2.923
2024-10-01,2.907,2.942,2.825,2.896
2024-10-02,2.898,3.0,2.87,2.886
2024-10-03,2.921,2.988,2.9,2.97
2024-10-04,2.971,3.019,2.831,2.854
2024-10-07,2.827,2.839,2.705,2.746
2024-10-08,2.733,2.781,2.699,2.733
2024-10-09,2.709,2.724,2.632,2.66
2024-10-10,2.647,2.7,2.588,2.675
2024-10-11,2.687,2.727,2.615,2.632
2024-10-14,2.624,2.625,2.476,2.494
2024-10-15,2.482,2.55,2.445,2.498
2024-10-16,2.488,2.497,2.358,2.367
2024-10-17,2.377,2.417,2.338,2.347
2024-10-18,2.349,2.37,2.248,2.258
2024-10-21,2.22,2.369,2.21,2.312
2024-10-22,2.364,2.375,2.271,2.311
2024-10-23,2.301,2.442,2.258,2.342
2024-10-24,2.4,2.582,2.373,2.522
2024-10-25,2.531,2.579,2.46,2.56
