date,open,high,low,close
2015-03-27,101870.000,102700.000,100650.000,101090.000
2015-03-30,99010.000,100000.000,96850.000,98380.000
2015-03-31,98000.000,98200.000,93840.000,95040.000
2015-04-01,93800.000,94130.000,91290.000,92450.000
2015-04-02,92870.000,96600.000,92550.000,96160.000
2015-04-03,95970.000,97800.000,95660.000,97300.000
2015-04-07,97380.000,97980.000,95950.000,96420.000
2015-04-08,94500.000,95630.000,93300.000,93950.000
2015-04-09,94450.000,95260.000,93880.000,94300.000
2015-04-10,94500.000,94970.000,93180.000,94540.000
2015-04-13,94280.000,95670.000,93700.000,95180.000
2015-04-14,94780.000,95070.000,92830.000,93100.000
2015-04-15,92710.000,95000.000,92640.000,94730.000
2015-04-16,94500.000,95900.000,94260.000,95400.000
2015-04-17,96280.000,96660.000,95010.000,95840.000
2015-04-20,95980.000,96550.000,95200.000,95410.000
2015-04-21,96260.000,96390.000,95630.000,95880.000
2015-04-22,95910.000,96720.000,95750.000,96340.000
2015-04-23,96120.000,96500.000,95600.000,95840.000
2015-04-24,95840.000,97890.000,95700.000,97830.000
2015-04-27,98000.000,101490.000,97990.000,101490.000
2015-04-28,102490.000,104530.000,101420.000,102640.000
2015-04-29,102370.000,104400.000,100550.000,101020.000
2015-04-30,101190.000,106980.000,101170.000,105980.000
2015-05-04,105760.000,108500.000,105480.000,107620.000
2015-05-05,107850.000,109230.000,106160.000,107940.000
2015-05-06,110000.000,113380.000,109690.000,113380.000
2015-05-07,114580.000,115300.000,111060.000,112490.000
2015-05-08,113700.000,114100.000,110000.000,112290.000
2015-05-11,111810.000,114430.000,111060.000,113880.000
2015-05-12,113300.000,115060.000,111280.000,111600.000
2015-05-13,112280.000,113650.000,110800.000,111750.000
2015-05-14,112100.000,112100.000,107060.000,109400.000
2015-05-15,108980.000,110950.000,108540.000,110210.000
2015-05-18,109390.000,109690.000,108200.000,108610.000
2015-05-19,108300.000,108890.000,106160.000,106400.000
2015-05-20,105500.000,105990.000,102340.000,102340.000
2015-05-21,100490.000,102550.000,100170.000,101050.000
2015-05-22,100960.000,103370.000,96710.000,100080.000
2015-05-25,98900.000,100580.000,98110.000,99490.000
2015-05-26,99670.000,101900.000,99660.000,100010.000
2015-05-27,99990.000,101180.000,99200.000,100670.000
2015-05-28,97760.000,100100.000,97750.000,99470.000
2015-05-29,99140.000,99670.000,96250.000,97600.000
2015-06-01,97500.000,97800.000,96360.000,96810.000
2015-06-02,97190.000,100500.000,97020.000,100280.000
2015-06-03,100380.000,101100.000,99040.000,99060.000
2015-06-04,99200.000,99940.000,97690.000,98530.000
2015-06-05,98650.000,99480.000,98080.000,98370.000
2015-06-08,98750.000,100600.000,98330.000,100570.000
2015-06-09,100850.000,102150.000,100660.000,100900.000
2015-06-10,101360.000,101770.000,100580.000,101350.000
2015-06-11,101850.000,102200.000,101300.000,101500.000
2015-06-12,101600.000,101640.000,97860.000,98100.000
2015-06-15,98400.000,98880.000,97400.000,97530.000
2015-06-16,97400.000,98050.000,95340.000,95670.000
2015-06-17,96000.000,96360.000,94700.000,95270.000
2015-06-18,96300.000,96810.000,95830.000,96290.000
2015-06-19,96020.000,96180.000,94440.000,94620.000
2015-06-23,93890.000,94780.000,93510.000,94450.000
2015-06-24,95610.000,96700.000,95350.000,96370.000
2015-06-25,96010.000,96220.000,94800.000,94850.000
2015-06-26,94760.000,95170.000,93030.000,93770.000
2015-06-29,93650.000,93680.000,89510.000,90360.000
2015-06-30,88880.000,89410.000,87330.000,87330.000
2015-07-01,87330.000,89980.000,86680.000,88360.000
2015-07-02,88000.000,89880.000,87580.000,89440.000
2015-07-03,89850.000,90670.000,88110.000,89230.000
2015-07-06,89100.000,89340.000,85260.000,85520.000
2015-07-07,85750.000,87360.000,84050.000,84220.000
2015-07-08,82400.000,82400.000,81630.000,81630.000
2015-07-09,75230.000,86050.000,75230.000,83530.000
2015-07-10,84100.000,85170.000,82950.000,84570.000
2015-07-13,84040.000,84170.000,80600.000,82250.000
2015-07-14,84510.000,85800.000,83680.000,84540.000
2015-07-15,84880.000,87090.000,84330.000,86970.000
2015-07-16,86850.000,87240.000,83630.000,85440.000
2015-07-17,84680.000,85760.000,84620.000,85590.000
2015-07-20,84800.000,85760.000,84450.000,85320.000
2015-07-21,85480.000,87950.000,85260.000,87870.000
2015-07-22,87670.000,87880.000,84530.000,85220.000
2015-07-23,85300.000,85620.000,83700.000,84410.000
2015-07-24,84190.000,84880.000,82900.000,83360.000
2015-07-27,83290.000,84950.000,82620.000,82650.000
2015-07-28,81300.000,83420.000,81150.000,82740.000
2015-07-29,83300.000,84770.000,83110.000,84330.000
2015-07-30,83590.000,84420.000,82500.000,82620.000
2015-07-31,82000.000,83000.000,81720.000,81780.000
2015-08-03,82200.000,83180.000,80160.000,80340.000
2015-08-04,80350.000,81220.000,79800.000,81100.000
2015-08-05,81300.000,81800.000,80290.000,81190.000
2015-08-06,81500.000,81640.000,80500.000,80780.000
2015-08-07,80700.000,81130.000,79930.000,80700.000
2015-08-10,80620.000,82490.000,80280.000,82200.000
2015-08-11,82190.000,84300.000,81980.000,82370.000
2015-08-12,81240.000,82840.000,80050.000,82690.000
2015-08-13,82700.000,83500.000,81750.000,82690.000
2015-08-14,83350.000,83430.000,82200.000,82300.000
2015-08-17,82800.000,83200.000,82230.000,82880.000
2015-08-18,82880.000,83250.000,81100.000,81130.000
2015-08-19,81090.000,81950.000,80620.000,81860.000
2015-08-20,81600.000,81850.000,79800.000,80650.000
2015-08-21,81550.000,81560.000,80300.000,80370.000
2015-08-24,80000.000,80100.000,76800.000,76800.000
2015-08-25,74200.000,76730.000,74100.000,75410.000
2015-08-26,75750.000,76230.000,74200.000,74360.000
