date,open,high,low,close
2007-10-29,8350.000,8424.000,8350.000,8424.000
2007-10-30,8700.000,8700.000,8550.000,8572.000
2007-10-31,8502.000,8554.000,8500.000,8516.000
2007-11-01,8700.000,8700.000,8550.000,8598.000
2007-11-02,8550.000,8564.000,8520.000,8540.000
2007-11-05,8550.000,8628.000,8550.000,8600.000
2007-11-06,8596.000,8670.000,8596.000,8666.000
2007-11-07,8730.000,8878.000,8730.000,8816.000
2007-11-08,8760.000,8898.000,8760.000,8860.000
2007-11-09,8860.000,8948.000,8860.000,8910.000
2007-11-12,8910.000,8930.000,8820.000,8836.000
2007-11-13,8780.000,8970.000,8762.000,8948.000
2007-11-14,8950.000,8960.000,8872.000,8900.000
2007-11-15,8900.000,8930.000,8860.000,8880.000
2007-11-16,8824.000,8888.000,8530.000,8530.000
2007-11-19,8748.000,8798.000,8658.000,8722.000
2007-11-20,8688.000,8688.000,8360.000,8420.000
2007-11-21,8500.000,8692.000,8490.000,8690.000
2007-11-22,8700.000,8798.000,8700.000,8780.000
2007-11-23,8760.000,8776.000,8648.000,8710.000
2007-11-26,8770.000,8866.000,8764.000,8804.000
2007-11-27,8760.000,8760.000,8698.000,8700.000
2007-11-28,8632.000,8656.000,8550.000,8550.000
2007-11-29,8576.000,8600.000,8400.000,8522.000
2007-11-30,8698.000,8698.000,8500.000,8554.000
2007-12-03,8748.000,8748.000,8550.000,8560.000
2007-12-04,8598.000,8664.000,8568.000,8580.000
2007-12-05,8586.000,8636.000,8530.000,8576.000
2007-12-06,8552.000,8552.000,8472.000,8480.000
2007-12-07,8520.000,8560.000,8428.000,8558.000
2007-12-10,8532.000,8566.000,8492.000,8522.000
2007-12-11,8502.000,8608.000,8502.000,8576.000
2007-12-12,8588.000,8588.000,8500.000,8518.000
2007-12-13,8592.000,8874.000,8560.000,8710.000
2007-12-14,8650.000,8728.000,8650.000,8712.000
2007-12-17,8748.000,8798.000,8722.000,8786.000
2007-12-18,8786.000,8786.000,8680.000,8680.000
2007-12-19,8650.000,8816.000,8650.000,8786.000
2007-12-20,8808.000,8808.000,8742.000,8750.000
2007-12-21,8752.000,8840.000,8710.000,8818.000
2007-12-24,8798.000,9034.000,8770.000,8996.000
2007-12-25,9044.000,9044.000,8956.000,9016.000
2007-12-26,9040.000,9248.000,9020.000,9246.000
2007-12-27,9258.000,9486.000,9258.000,9300.000
2007-12-28,9300.000,9410.000,9208.000,9298.000
2007-12-31,9300.000,9410.000,9208.000,9298.000
2008-01-01,9300.000,9410.000,9208.000,9298.000
2008-01-02,9300.000,9360.000,9244.000,9296.000
2008-01-03,9380.000,9536.000,9380.000,9424.000
2008-01-04,9450.000,9496.000,9410.000,9434.000
2008-01-07,9420.000,9514.000,9404.000,9448.000
2008-01-08,9470.000,9504.000,9408.000,9470.000
2008-01-09,9530.000,9580.000,9450.000,9576.000
2008-01-10,9510.000,9670.000,9510.000,9630.000
2008-01-11,9630.000,9880.000,9630.000,9842.000
2008-01-14,9988.000,10128.000,9950.000,10128.000
2008-01-15,10280.000,10296.000,10080.000,10252.000
2008-01-16,10244.000,10248.000,9968.000,10070.000
2008-01-17,10020.000,10246.000,9968.000,10244.000
2008-01-18,10180.000,10198.000,9882.000,9930.000
2008-01-21,9950.000,10036.000,9902.000,9970.000
2008-01-22,9700.000,9716.000,9576.000,9576.000
2008-01-23,9604.000,9648.000,9438.000,9484.000
2008-01-24,9138.000,9380.000,9138.000,9362.000
2008-01-25,9474.000,9628.000,9474.000,9586.000
2008-01-28,9580.000,9638.000,9526.000,9562.000
2008-01-29,9658.000,9720.000,9606.000,9716.000
2008-01-31,9726.000,9836.000,9690.000,9758.000
2008-02-01,9848.000,9888.000,9790.000,9798.000
2008-02-04,9860.000,9962.000,9750.000,9918.000
2008-02-05,10050.000,10228.000,10002.000,10228.000
2008-02-13,10150.000,10348.000,10150.000,10268.000
2008-02-14,10300.000,10482.000,10300.000,10442.000
2008-02-15,10610.000,10818.000,10610.000,10718.000
2008-02-18,10748.000,11088.000,10718.000,10810.000
2008-02-19,10868.000,10918.000,10580.000,10820.000
2008-02-20,10858.000,10940.000,10750.000,10860.000
2008-02-21,10960.000,11120.000,10912.000,11076.000
