date,open,high,low,close
2014-02-28,10680.000,10720.000,10604.000,10657.000
2014-03-03,10400.000,10403.000,10263.000,10298.000
2014-03-04,10310.000,10330.000,10256.000,10306.000
2014-03-05,10710.000,10732.000,10676.000,10710.000
2014-03-06,10270.000,10290.000,10071.000,10166.000
2014-03-10,10025.000,10150.000,10000.000,10077.000
2014-03-11,10096.000,10350.000,10050.000,10180.000
2014-03-12,10090.000,10193.000,10061.000,10191.000
2014-03-14,10200.000,10210.000,10120.000,10171.000
2014-03-17,10165.000,10290.000,10140.000,10171.000
2014-03-18,10125.000,10290.000,10125.000,10284.000
2014-03-19,10300.000,10348.000,10214.000,10214.000
2014-03-20,10220.000,10260.000,10195.000,10240.000
2014-03-21,10206.000,10295.000,10202.000,10285.000
2014-03-24,10280.000,10324.000,10241.000,10310.000
2014-03-25,10315.000,10436.000,10290.000,10406.000
2014-03-26,10389.000,10560.000,10385.000,10527.000
2014-03-27,10530.000,10530.000,10474.000,10492.000
2014-03-28,10500.000,10625.000,10492.000,10620.000
2014-03-31,10618.000,10650.000,10563.000,10582.000
2014-04-01,10590.000,10724.000,10555.000,10705.000
2014-04-02,10681.000,10707.000,10650.000,10672.000
2014-04-03,10680.000,10705.000,10606.000,10685.000
2014-04-04,10685.000,10832.000,10685.000,10818.000
2014-04-08,10810.000,10838.000,10725.000,10756.000
2014-04-09,10790.000,10790.000,10660.000,10733.000
2014-04-10,10750.000,10805.000,10682.000,10682.000
2014-04-11,10670.000,10720.000,10619.000,10701.000
2014-04-14,10750.000,10774.000,10680.000,10758.000
2014-04-15,10766.000,10826.000,10728.000,10793.000
2014-04-16,10783.000,10806.000,10746.000,10772.000
2014-04-17,10770.000,10900.000,10760.000,10875.000
2014-04-18,10886.000,10887.000,10792.000,10874.000
2014-04-21,10875.000,10938.000,10834.000,10887.000
2014-04-22,10890.000,11040.000,10861.000,10975.000
2014-04-23,10985.000,10986.000,10867.000,10925.000
2014-04-24,10924.000,10949.000,10838.000,10847.000
2014-04-25,10900.000,10919.000,10685.000,10703.000
2014-04-28,10710.000,10728.000,10660.000,10706.000
2014-04-29,10700.000,10770.000,10656.000,10758.000
2014-04-30,10762.000,10775.000,10713.000,10747.000
2014-05-05,10750.000,10848.000,10675.000,10847.000
2014-05-06,10832.000,10890.000,10808.000,10850.000
2014-05-07,10850.000,10965.000,10823.000,10932.000
2014-05-08,10955.000,10955.000,10843.000,10872.000
2014-05-09,10884.000,10884.000,10750.000,10771.000
2014-05-12,10790.000,10830.000,10714.000,10751.000
2014-05-13,10773.000,10786.000,10725.000,10780.000
2014-05-14,10810.000,10815.000,10718.000,10752.000
