date,open,high,low,close
2024-12-26,44000.000,44000.000,41010.000,41570.000
2024-12-27,41600.000,42160.000,41225.000,41950.000
2024-12-30,41900.000,43010.000,41750.000,42535.000
2024-12-31,42570.000,42705.000,42230.000,42465.000
2025-01-02,42315.000,42680.000,42315.000,42570.000
2025-01-03,42570.000,42780.000,42365.000,42560.000
2025-01-06,42600.000,43600.000,42560.000,43325.000
2025-01-07,43325.000,43450.000,42765.000,43185.000
2025-01-08,43185.000,43390.000,42650.000,42700.000
2025-01-09,43000.000,43000.000,42165.000,42575.000
2025-01-10,42660.000,43480.000,42435.000,43070.000
2025-01-13,43270.000,43480.000,42865.000,43385.000
2025-01-14,43305.000,43850.000,43120.000,43650.000
2025-01-15,43550.000,44640.000,43550.000,44225.000
2025-01-16,44235.000,44445.000,43800.000,44130.000
2025-01-17,44130.000,45190.000,44015.000,44940.000
2025-01-20,44505.000,45060.000,44505.000,44705.000
2025-01-21,44780.000,44850.000,43940.000,44265.000
2025-01-22,44000.000,44185.000,43360.000,43770.000
2025-01-23,43760.000,43965.000,43315.000,43380.000
2025-01-24,43310.000,43770.000,42965.000,43195.000
2025-01-27,43325.000,43735.000,43100.000,43730.000
2025-02-05,43540.000,44140.000,42820.000,43200.000
2025-02-06,43200.000,43880.000,43180.000,43795.000
2025-02-07,43800.000,44645.000,43740.000,44105.000
2025-02-10,44000.000,44555.000,43805.000,44435.000
2025-02-11,44500.000,44550.000,43705.000,43870.000
2025-02-12,43810.000,44275.000,43800.000,43915.000
2025-02-13,43950.000,44150.000,43620.000,43810.000
2025-02-14,44100.000,44260.000,43845.000,44150.000
2025-02-17,44100.000,44360.000,43915.000,44270.000
2025-02-18,44270.000,44400.000,44085.000,44160.000
2025-02-19,44270.000,44275.000,44015.000,44060.000
2025-02-20,43950.000,44080.000,43660.000,43765.000
2025-02-21,43860.000,44100.000,43555.000,43825.000
2025-02-24,43690.000,43920.000,43610.000,43900.000
2025-02-25,43840.000,44065.000,43710.000,43835.000
2025-02-26,43805.000,44600.000,43660.000,44515.000
2025-02-27,44500.000,44795.000,44310.000,44550.000
2025-02-28,44535.000,44620.000,44155.000,44265.000
2025-03-03,44265.000,44480.000,44125.000,44390.000
2025-03-04,44290.000,44415.000,43800.000,44100.000
2025-03-05,44100.000,44145.000,43800.000,43875.000
2025-03-06,43905.000,44480.000,43720.000,44400.000
2025-03-07,44400.000,44450.000,43980.000,44015.000
2025-03-10,44060.000,44200.000,43815.000,43850.000
2025-03-11,43900.000,44180.000,43900.000,44150.000
2025-03-12,44160.000,44255.000,43910.000,44050.000
2025-03-13,44060.000,44230.000,43950.000,44120.000
2025-03-14,43995.000,44185.000,43750.000,43770.000
2025-03-17,43780.000,43780.000,43070.000,43220.000
2025-03-18,43220.000,43495.000,42480.000,43080.000
2025-03-19,43135.000,43660.000,42700.000,43610.000
2025-03-20,43610.000,43990.000,43355.000,43695.000
2025-03-21,43790.000,43890.000,43340.000,43515.000
2025-03-24,43550.000,43750.000,43405.000,43640.000
2025-03-25,43640.000,43860.000,43600.000,43795.000
2025-03-26,43840.000,43990.000,43600.000,43640.000
2025-03-27,43680.000,43880.000,43560.000,43760.000
2025-03-28,43760.000,43850.000,43510.000,43650.000
2025-03-31,43635.000,43635.000,43285.000,43460.000
2025-04-01,43500.000,43650.000,43325.000,43560.000
2025-04-02,43500.000,43780.000,43425.000,43680.000
2025-04-03,43570.000,43775.000,43370.000,43650.000
2025-04-07,43050.000,43635.000,42865.000,43265.000
2025-04-08,43280.000,43420.000,40880.000,42405.000
2025-04-09,42000.000,42340.000,41100.000,42245.000
2025-04-10,42885.000,43300.000,42100.000,42190.000
2025-04-11,41700.000,42085.000,41350.000,41835.000
2025-04-14,42080.000,42150.000,41410.000,41550.000
2025-04-15,41500.000,41580.000,40115.000,40485.000
2025-04-16,40690.000,40800.000,39505.000,40265.000
2025-04-17,40165.000,40680.000,39340.000,39440.000
2025-04-18,39390.000,39400.000,37390.000,37615.000
2025-04-21,37800.000,38710.000,37135.000,38420.000
2025-04-22,38000.000,38550.000,37680.000,38020.000
2025-04-23,38305.000,39325.000,38105.000,39135.000
2025-04-24,38900.000,39840.000,38500.000,39375.000
2025-04-25,39375.000,39415.000,38380.000,38390.000
2025-04-28,38390.000,38495.000,37730.000,37780.000
2025-04-29,37500.000,37835.000,36895.000,37320.000
2025-04-30,37220.000,37920.000,36665.000,37245.000
2025-05-06,37200.000,37350.000,36325.000,36410.000
2025-05-07,36670.000,37140.000,35470.000,35520.000
2025-05-08,35495.000,37320.000,34375.000,36950.000
2025-05-09,37420.000,38175.000,36820.000,37830.000
2025-05-12,38100.000,38640.000,37200.000,38450.000
2025-05-13,38230.000,39340.000,37820.000,38270.000
2025-05-14,37460.000,37760.000,36525.000,37560.000
2025-05-15,37110.000,37595.000,36675.000,37200.000
2025-05-16,36950.000,36950.000,35565.000,35975.000
2025-05-19,36105.000,36490.000,35515.000,36050.000
2025-05-20,36020.000,36180.000,34960.000,35625.000
2025-05-21,35630.000,36115.000,35295.000,35860.000
2025-05-22,35600.000,36090.000,35300.000,36080.000
2025-05-23,36100.000,36775.000,35950.000,36090.000
2025-05-26,36120.000,36180.000,34845.000,34885.000
2025-05-27,34500.000,35455.000,34455.000,35290.000
2025-05-28,35360.000,35595.000,34585.000,35100.000
2025-05-29,35130.000,35445.000,34710.000,35280.000
2025-05-30,35005.000,35675.000,34800.000,35600.000
2025-06-03,35605.000,35605.000,34270.000,34360.000
2025-06-04,34300.000,35340.000,33840.000,35055.000
2025-06-05,34810.000,34910.000,34370.000,34540.000
2025-06-06,35000.000,35335.000,34470.000,34740.000
2025-06-09,34620.000,34700.000,33985.000,34105.000
2025-06-10,34000.000,34375.000,33640.000,33955.000
2025-06-11,33980.000,34355.000,33795.000,34255.000
2025-06-12,34060.000,34220.000,33570.000,33585.000
2025-06-13,33560.000,34000.000,33355.000,33695.000
2025-06-16,33765.000,34330.000,33640.000,34320.000
2025-06-17,33070.000,33120.000,32525.000,32705.000
2025-06-18,32700.000,33000.000,32230.000,32570.000
2025-06-19,32480.000,32580.000,32030.000,32120.000
2025-06-20,32155.000,32240.000,31210.000,31220.000
2025-06-23,31200.000,31385.000,30605.000,30615.000
2025-06-24,30615.000,31650.000,30440.000,31085.000
2025-06-25,31000.000,31125.000,30400.000,30625.000
2025-06-26,30745.000,31800.000,30700.000,31715.000
2025-06-27,32000.000,33585.000,31350.000,33315.000
2025-06-30,33295.000,34120.000,32840.000,33535.000
2025-07-01,33470.000,33500.000,32355.000,32700.000
2025-07-02,33350.000,35050.000,33035.000,35050.000
2025-07-03,35700.000,35900.000,34780.000,35050.000
2025-07-04,35880.000,36295.000,34910.000,35510.000
2025-07-07,35100.000,36525.000,35050.000,36515.000
2025-07-08,36505.000,38385.000,36180.000,38385.000
2025-07-09,38480.000,40045.000,38230.000,39270.000
2025-07-10,39500.000,41660.000,38760.000,41345.000
2025-07-11,41150.000,41825.000,40215.000,41000.000
2025-07-14,41005.000,41775.000,40455.000,41445.000
2025-07-15,41220.000,42985.000,40860.000,42120.000
