date,open,high,low,close
2023-09-15,10000.000,10050.000,9410.000,9468.000
2023-09-18,9450.000,9468.000,9290.000,9346.000
2023-09-19,9370.000,9436.000,9290.000,9326.000
2023-09-20,9358.000,9564.000,9254.000,9310.000
2023-09-21,9344.000,9346.000,9132.000,9134.000
2023-09-22,9172.000,9280.000,9162.000,9218.000
2023-09-25,9254.000,9300.000,9066.000,9130.000
2023-09-26,9120.000,9130.000,8890.000,8930.000
2023-09-27,8950.000,9040.000,8912.000,8980.000
2023-09-28,9018.000,9166.000,8968.000,9006.000
2023-10-09,8746.000,8826.000,8586.000,8620.000
2023-10-10,8640.000,8650.000,8488.000,8500.000
2023-10-11,8506.000,8526.000,8404.000,8458.000
2023-10-12,8438.000,8462.000,8292.000,8390.000
2023-10-13,8436.000,8486.000,8316.000,8404.000
2023-10-16,8502.000,8518.000,8402.000,8444.000
2023-10-17,8460.000,8506.000,8280.000,8362.000
2023-10-18,8332.000,8498.000,8332.000,8420.000
2023-10-19,8402.000,8466.000,8318.000,8400.000
2023-10-20,8388.000,8530.000,8350.000,8410.000
2023-10-23,8406.000,8432.000,8234.000,8318.000
2023-10-24,8336.000,8544.000,8298.000,8530.000
2023-10-25,8500.000,8590.000,8406.000,8460.000
2023-10-26,8480.000,8564.000,8464.000,8510.000
2023-10-27,8474.000,8596.000,8430.000,8554.000
2023-10-30,8552.000,8668.000,8520.000,8630.000
2023-10-31,8614.000,8688.000,8506.000,8638.000
2023-11-01,8624.000,8668.000,8566.000,8596.000
2023-11-02,8650.000,8650.000,8500.000,8564.000
2023-11-03,8574.000,8696.000,8550.000,8652.000
2023-11-06,8666.000,8700.000,8502.000,8558.000
2023-11-07,8570.000,8616.000,8466.000,8496.000
2023-11-08,8478.000,8492.000,8352.000,8462.000
2023-11-09,8428.000,8562.000,8380.000,8432.000
2023-11-10,8450.000,8528.000,8426.000,8470.000
2023-11-13,8498.000,8538.000,8378.000,8452.000
2023-11-14,8466.000,8606.000,8426.000,8566.000
2023-11-15,8540.000,8628.000,8528.000,8624.000
2023-11-16,8608.000,8780.000,8544.000,8778.000
2023-11-17,8776.000,8840.000,8630.000,8672.000
2023-11-20,8694.000,8772.000,8648.000,8708.000
2023-11-21,8722.000,8762.000,8430.000,8452.000
2023-11-22,8466.000,8510.000,8388.000,8416.000
2023-11-23,8400.000,8448.000,8324.000,8410.000
2023-11-24,8410.000,8448.000,8368.000,8408.000
2023-11-27,8404.000,8430.000,8272.000,8298.000
2023-11-28,8296.000,8328.000,8252.000,8258.000
2023-11-29,8280.000,8330.000,8206.000,8254.000
2023-11-30,8272.000,8476.000,8262.000,8442.000
2023-12-01,8446.000,8484.000,8262.000,8318.000
2023-12-04,8320.000,8402.000,8252.000,8278.000
2023-12-05,8280.000,8310.000,8190.000,8274.000
2023-12-06,8270.000,8342.000,8110.000,8310.000
2023-12-07,8290.000,8310.000,8170.000,8270.000
2023-12-08,8246.000,8394.000,8244.000,8338.000
2023-12-11,8340.000,8386.000,8282.000,8336.000
2023-12-12,8326.000,8426.000,8268.000,8356.000
2023-12-13,8346.000,8358.000,8132.000,8136.000
2023-12-14,8160.000,8214.000,8092.000,8098.000
2023-12-15,8160.000,8300.000,8132.000,8244.000
2023-12-18,8260.000,8330.000,8200.000,8308.000
2023-12-19,8300.000,8378.000,8300.000,8318.000
2023-12-20,8322.000,8512.000,8320.000,8492.000
2023-12-21,8512.000,8614.000,8450.000,8598.000
2023-12-22,8580.000,8674.000,8530.000,8604.000
