date,open,high,low,close
2009-03-27,3550.000,3663.000,3513.000,3561.000
2009-03-30,3550.000,3580.000,3528.000,3544.000
2009-03-31,3538.000,3566.000,3531.000,3549.000
2009-04-01,3560.000,3561.000,3543.000,3547.000
2009-04-02,3545.000,3548.000,3456.000,3473.000
2009-04-03,3481.000,3481.000,3436.000,3448.000
2009-04-07,3410.000,3518.000,3410.000,3491.000
2009-04-08,3480.000,3491.000,3456.000,3463.000
2009-04-09,3476.000,3486.000,3460.000,3468.000
2009-04-10,3483.000,3499.000,3470.000,3484.000
2009-04-13,3485.000,3493.000,3464.000,3469.000
2009-04-14,3475.000,3600.000,3469.000,3560.000
2009-04-15,3570.000,3590.000,3550.000,3562.000
2009-04-16,3582.000,3628.000,3570.000,3596.000
2009-04-17,3594.000,3648.000,3581.000,3620.000
2009-04-20,3620.000,3648.000,3608.000,3623.000
2009-04-21,3580.000,3590.000,3486.000,3524.000
2009-04-22,3550.000,3566.000,3508.000,3526.000
2009-04-23,3529.000,3531.000,3488.000,3513.000
2009-04-24,3513.000,3522.000,3497.000,3501.000
2009-04-27,3510.000,3520.000,3492.000,3499.000
2009-04-28,3496.000,3515.000,3496.000,3507.000
2009-04-29,3507.000,3520.000,3503.000,3520.000
2009-04-30,3536.000,3575.000,3523.000,3553.000
2009-05-04,3573.000,3660.000,3571.000,3636.000
2009-05-05,3636.000,3644.000,3570.000,3577.000
2009-05-06,3578.000,3598.000,3573.000,3594.000
2009-05-07,3628.000,3630.000,3591.000,3593.000
2009-05-08,3599.000,3616.000,3589.000,3614.000
2009-05-11,3615.000,3678.000,3606.000,3639.000
2009-05-12,3645.000,3660.000,3630.000,3645.000
2009-05-13,3655.000,3657.000,3634.000,3639.000
2009-05-14,3616.000,3620.000,3590.000,3594.000
2009-05-15,3600.000,3618.000,3596.000,3604.000
2009-05-18,3595.000,3612.000,3581.000,3608.000
2009-05-19,3630.000,3630.000,3611.000,3618.000
2009-05-20,3616.000,3644.000,3612.000,3618.000
2009-05-21,3620.000,3642.000,3618.000,3624.000
2009-05-22,3619.000,3627.000,3608.000,3618.000
2009-05-25,3629.000,3629.000,3600.000,3609.000
2009-05-26,3609.000,3620.000,3596.000,3601.000
2009-05-27,3628.000,3628.000,3606.000,3610.000
2009-06-01,3630.000,3657.000,3622.000,3647.000
2009-06-02,3660.000,3682.000,3652.000,3655.000
2009-06-03,3659.000,3672.000,3656.000,3670.000
2009-06-04,3650.000,3712.000,3645.000,3700.000
2009-06-05,3721.000,3778.000,3720.000,3756.000
2009-06-08,3755.000,3793.000,3747.000,3788.000
2009-06-09,3797.000,3807.000,3768.000,3779.000
2009-06-10,3792.000,3813.000,3774.000,3808.000
2009-06-11,3810.000,3940.000,3807.000,3878.000
2009-06-12,3888.000,3928.000,3835.000,3864.000
2009-06-15,3855.000,3877.000,3823.000,3849.000
2009-06-16,3829.000,3882.000,3828.000,3865.000
2009-06-17,3861.000,3878.000,3841.000,3852.000
2009-06-18,3852.000,3865.000,3830.000,3842.000
2009-06-19,3852.000,3920.000,3846.000,3907.000
2009-06-22,3908.000,3936.000,3900.000,3919.000
2009-06-23,3898.000,3900.000,3835.000,3881.000
2009-06-24,3888.000,3897.000,3858.000,3870.000
2009-06-25,3862.000,3888.000,3858.000,3866.000
2009-06-26,3870.000,3887.000,3846.000,3854.000
2009-06-29,3846.000,3853.000,3823.000,3829.000
2009-06-30,3832.000,3840.000,3817.000,3826.000
2009-07-01,3826.000,3845.000,3820.000,3839.000
2009-07-02,3856.000,3878.000,3845.000,3867.000
2009-07-03,3867.000,3883.000,3858.000,3859.000
2009-07-06,3858.000,3874.000,3855.000,3866.000
2009-07-07,3876.000,3880.000,3864.000,3870.000
2009-07-08,3861.000,3870.000,3837.000,3850.000
2009-07-09,3841.000,3868.000,3841.000,3865.000
2009-07-10,3876.000,3912.000,3876.000,3900.000
2009-07-13,3911.000,3933.000,3906.000,3916.000
2009-07-14,3932.000,3937.000,3916.000,3927.000
2009-07-15,3936.000,4005.000,3935.000,4002.000
2009-07-16,4010.000,4049.000,3993.000,4034.000
2009-07-17,4035.000,4043.000,3999.000,4007.000
2009-07-20,4016.000,4031.000,4006.000,4029.000
2009-07-21,4038.000,4045.000,4014.000,4034.000
2009-07-22,4044.000,4088.000,4036.000,4072.000
2009-07-23,4088.000,4124.000,4076.000,4122.000
2009-07-24,4125.000,4198.000,4120.000,4184.000
2009-07-27,4198.000,4258.000,4178.000,4236.000
2009-07-28,4235.000,4336.000,4218.000,4331.000
2009-07-29,4333.000,4416.000,4304.000,4392.000
2009-07-30,4410.000,4449.000,4361.000,4444.000
2009-07-31,4482.000,4627.000,4455.000,4627.000
2009-08-03,4777.000,4857.000,4730.000,4857.000
2009-08-04,4950.000,4968.000,4814.000,4841.000
2009-08-05,4870.000,4950.000,4820.000,4875.000
2009-08-06,4865.000,4899.000,4810.000,4853.000
2009-08-07,4837.000,4854.000,4631.000,4653.000
2009-08-10,4658.000,4725.000,4556.000,4642.000
2009-08-11,4618.000,4675.000,4603.000,4658.000
2009-08-12,4645.000,4662.000,4564.000,4591.000
2009-08-13,4621.000,4679.000,4602.000,4617.000
2009-08-14,4620.000,4640.000,4461.000,4512.000
2009-08-17,4443.000,4537.000,4365.000,4436.000
2009-08-18,4475.000,4499.000,4392.000,4416.000
2009-08-19,4400.000,4414.000,4219.000,4219.000
2009-08-20,4240.000,4317.000,4131.000,4283.000
2009-08-21,4270.000,4426.000,4245.000,4334.000
2009-08-24,4451.000,4462.000,4306.000,4323.000
2009-08-25,4280.000,4280.000,4181.000,4240.000
2009-08-26,4210.000,4296.000,4202.000,4269.000
2009-08-27,4250.000,4312.000,4223.000,4271.000
2009-08-28,4288.000,4333.000,4250.000,4272.000
2009-08-31,4280.000,4291.000,4103.000,4120.000
2009-09-01,4098.000,4127.000,4054.000,4075.000
2009-09-02,4020.000,4079.000,4011.000,4032.000
2009-09-03,4041.000,4075.000,4003.000,4049.000
2009-09-04,4055.000,4068.000,4015.000,4031.000
2009-09-07,4018.000,4018.000,3908.000,3919.000
2009-09-08,3898.000,3959.000,3880.000,3944.000
2009-09-09,3960.000,4048.000,3955.000,4044.000
2009-09-10,4060.000,4078.000,4003.000,4007.000
2009-09-11,4000.000,4025.000,3957.000,3972.000
2009-09-14,3927.000,3975.000,3900.000,3973.000
2009-09-15,3993.000,3996.000,3951.000,3967.000
2009-09-16,3985.000,4040.000,3966.000,4036.000
2009-09-17,4050.000,4065.000,3990.000,3990.000
2009-09-18,3981.000,3997.000,3937.000,3973.000
2009-09-21,3970.000,4007.000,3961.000,3989.000
2009-09-22,3977.000,3989.000,3953.000,3956.000
2009-09-23,3958.000,3964.000,3890.000,3891.000
2009-09-24,3881.000,3882.000,3813.000,3854.000
2009-09-25,3830.000,3847.000,3811.000,3825.000
2009-09-28,3812.000,3815.000,3637.000,3659.000
2009-09-29,3690.000,3757.000,3666.000,3749.000
2009-09-30,3749.000,3772.000,3709.000,3735.000
2009-10-09,3760.000,3795.000,3673.000,3674.000
2009-10-12,3634.000,3700.000,3610.000,3695.000
2009-10-13,3690.000,3707.000,3657.000,3665.000
2009-10-14,3655.000,3693.000,3652.000,3678.000
2009-10-15,3679.000,3758.000,3678.000,3756.000
2009-10-16,3761.000,3829.000,3760.000,3829.000
2009-10-19,3830.000,3961.000,3830.000,3865.000
2009-10-20,3880.000,3899.000,3810.000,3842.000
2009-10-21,3838.000,3894.000,3826.000,3887.000
2009-10-22,3920.000,3940.000,3854.000,3855.000
2009-10-23,3860.000,3912.000,3855.000,3891.000
2009-10-26,3898.000,4005.000,3898.000,4001.000
2009-10-27,3988.000,4014.000,3952.000,3971.000
2009-10-28,3968.000,3968.000,3858.000,3865.000
2009-10-29,3820.000,3854.000,3787.000,3835.000
2009-10-30,3879.000,3895.000,3845.000,3875.000
2009-11-02,3843.000,3916.000,3828.000,3910.000
2009-11-03,3910.000,3940.000,3876.000,3881.000
2009-11-04,3886.000,3903.000,3866.000,3889.000
2009-11-05,4003.000,4026.000,3990.000,4015.000
2009-11-06,4020.000,4065.000,4020.000,4064.000
2009-11-09,4065.000,4125.000,4055.000,4110.000
2009-11-10,4128.000,4144.000,4078.000,4081.000
2009-11-11,4094.000,4114.000,4060.000,4066.000
2009-11-12,4074.000,4085.000,4033.000,4048.000
2009-11-13,4031.000,4071.000,4007.000,4069.000
2009-11-16,4071.000,4085.000,4051.000,4057.000
2009-11-17,4075.000,4079.000,4033.000,4040.000
2009-11-18,4046.000,4053.000,4029.000,4045.000
2009-11-19,4038.000,4137.000,4035.000,4115.000
2009-11-20,4130.000,4156.000,4086.000,4109.000
2009-11-23,4122.000,4193.000,4117.000,4186.000
2009-11-24,4170.000,4198.000,4092.000,4118.000
2009-11-25,4129.000,4140.000,4103.000,4129.000
2009-11-26,4528.000,4572.000,4461.000,4494.000
2009-11-27,4463.000,4470.000,4286.000,4286.000
2009-11-30,4336.000,4404.000,4322.000,4375.000
2009-12-01,4390.000,4408.000,4331.000,4367.000
2009-12-02,4388.000,4409.000,4361.000,4377.000
2009-12-03,4383.000,4396.000,4366.000,4385.000
2009-12-04,4368.000,4381.000,4336.000,4374.000
2009-12-07,4354.000,4395.000,4354.000,4373.000
2009-12-08,4380.000,4385.000,4288.000,4318.000
2009-12-09,4284.000,4290.000,4246.000,4267.000
2009-12-10,4267.000,4337.000,4250.000,4334.000
2009-12-11,4350.000,4401.000,4350.000,4396.000
2009-12-14,4400.000,4433.000,4331.000,4430.000
2009-12-15,4430.000,4438.000,4384.000,4394.000
2009-12-16,4387.000,4419.000,4370.000,4395.000
2009-12-17,4415.000,4431.000,4375.000,4386.000
2009-12-18,4350.000,4389.000,4349.000,4379.000
2009-12-21,4389.000,4418.000,4372.000,4418.000
2009-12-22,4411.000,4438.000,4403.000,4405.000
2009-12-23,4410.000,4427.000,4393.000,4408.000
2009-12-24,4428.000,4478.000,4413.000,4461.000
2009-12-25,4461.000,4478.000,4442.000,4459.000
2009-12-28,4465.000,4538.000,4463.000,4525.000
2009-12-29,4525.000,4547.000,4488.000,4499.000
2009-12-30,4497.000,4515.000,4477.000,4486.000
2009-12-31,4495.000,4518.000,4486.000,4511.000
2010-01-04,4523.000,4610.000,4523.000,4579.000
2010-01-05,4592.000,4606.000,4572.000,4589.000
2010-01-06,4587.000,4635.000,4581.000,4622.000
2010-01-07,4641.000,4650.000,4389.000,4489.000
2010-01-08,4505.000,4510.000,4412.000,4462.000
2010-01-11,4495.000,4518.000,4475.000,4516.000
2010-01-12,4505.000,4528.000,4480.000,4510.000
2010-01-13,4420.000,4460.000,4354.000,4418.000
2010-01-14,4450.000,4464.000,4430.000,4433.000
2010-01-15,4419.000,4436.000,4355.000,4368.000
2010-01-18,4339.000,4399.000,4310.000,4395.000
2010-01-19,4405.000,4418.000,4361.000,4382.000
2010-01-20,4392.000,4394.000,4341.000,4364.000
2010-01-21,4337.000,4366.000,4326.000,4352.000
2010-01-22,4319.000,4335.000,4257.000,4288.000
2010-01-25,4280.000,4295.000,4265.000,4278.000
2010-01-26,4286.000,4290.000,4258.000,4265.000
2010-01-27,4275.000,4327.000,4265.000,4316.000
2010-01-28,4260.000,4319.000,4255.000,4293.000
2010-01-29,4281.000,4315.000,4276.000,4300.000
2010-02-01,4317.000,4334.000,4276.000,4295.000
2010-02-02,4316.000,4323.000,4126.000,4159.000
2010-02-03,4175.000,4188.000,4136.000,4180.000
2010-02-04,4150.000,4158.000,4093.000,4115.000
2010-02-05,4090.000,4110.000,4066.000,4109.000
2010-02-08,4120.000,4139.000,4103.000,4129.000
2010-02-09,4123.000,4166.000,4115.000,4157.000
2010-02-10,4172.000,4219.000,4156.000,4198.000
2010-02-11,4210.000,4236.000,4190.000,4229.000
2010-02-12,4246.000,4299.000,4233.000,4293.000
2010-02-22,4330.000,4376.000,4229.000,4243.000
2010-02-23,4240.000,4297.000,4220.000,4283.000
2010-02-24,4261.000,4281.000,4233.000,4253.000
2010-02-25,4258.000,4263.000,4191.000,4209.000
2010-02-26,4208.000,4219.000,4175.000,4214.000
2010-03-01,4651.000,4679.000,4625.000,4677.000
2010-03-02,4666.000,4670.000,4598.000,4609.000
2010-03-03,4630.000,4630.000,4572.000,4586.000
2010-03-04,4590.000,4596.000,4522.000,4528.000
2010-03-05,4528.000,4564.000,4513.000,4560.000
2010-03-08,4578.000,4628.000,4572.000,4626.000
2010-03-09,4615.000,4648.000,4596.000,4636.000
2010-03-10,4642.000,4664.000,4619.000,4649.000
2010-03-11,4657.000,4673.000,4603.000,4652.000
2010-03-12,4669.000,4678.000,4647.000,4658.000
2010-03-15,4661.000,4675.000,4634.000,4660.000
2010-03-16,4650.000,4794.000,4646.000,4780.000
2010-03-17,4799.000,4828.000,4741.000,4763.000
2010-03-18,4756.000,4772.000,4730.000,4733.000
2010-03-19,4736.000,4767.000,4721.000,4757.000
2010-03-22,4751.000,4812.000,4751.000,4768.000
2010-03-23,4777.000,4788.000,4738.000,4742.000
2010-03-24,4750.000,4785.000,4731.000,4778.000
2010-03-25,4790.000,4814.000,4771.000,4796.000
2010-03-26,4801.000,4848.000,4787.000,4793.000
2010-03-29,4812.000,4825.000,4782.000,4810.000
