date,open,high,low,close
2024-06-17,2.4065,2.4523,2.382,2.4469
2024-06-18,2.46,2.4944,2.4301,2.4832
2024-06-20,2.4942,2.5175,2.486,2.5008
2024-06-21,2.5023,2.5389,2.492,2.5137
2024-06-24,2.515,2.5216,2.4859,2.5115
2024-06-25,2.5151,2.5346,2.4956,2.5147
2024-06-26,2.5045,2.5558,2.4983,2.5446
2024-06-27,2.5366,2.5817,2.5317,2.5456
2024-06-28,2.5466,2.566,2.521,2.5291
2024-07-01,2.5099,2.5801,2.509,2.5783
2024-07-02,2.5731,2.615,2.5682,2.5734
2024-07-03,2.5755,2.6029,2.5398,2.6013
2024-07-05,2.5846,2.6217,2.5566,2.5591
2024-07-08,2.564,2.574,2.5255,2.5379
2024-07-09,2.5342,2.5604,2.5188,2.5274
2024-07-10,2.533,2.5334,2.4921,2.5034
2024-07-11,2.51,2.5286,2.4914,2.5178
2024-07-12,2.5248,2.5396,2.509,2.5153
2024-07-15,2.5127,2.5209,2.4807,2.4916
2024-07-16,2.4939,2.4957,2.444,2.4775
2024-07-17,2.467,2.5088,2.4574,2.5013
2024-07-18,2.5081,2.5214,2.4811,2.5164
2024-07-19,2.5057,2.5241,2.4476,2.4504
2024-07-22,2.4562,2.4734,2.4182,2.4706
2024-07-23,2.4665,2.4728,2.4126,2.4141
2024-07-24,2.4377,2.4677,2.426,2.4515
2024-07-25,2.4443,2.473,2.4061,2.4676
2024-07-26,2.4721,2.4821,2.4302,2.4605
2024-07-29,2.4565,2.4711,2.4133,2.4153
2024-07-30,2.4148,2.4202,2.3697,2.3871
2024-07-31,2.3945,2.4898,2.3945,2.482
2024-08-01,2.462,2.4691,2.3941,2.398
2024-08-02,2.4102,2.4231,2.3045,2.3176
2024-08-05,2.3297,2.3598,2.2581,2.3336
2024-08-06,2.3552,2.3733,2.3073,2.3262
2024-08-07,2.3078,2.3784,2.2962,2.3573
2024-08-08,2.365,2.4103,2.3458,2.3992
2024-08-09,2.3939,2.4085,2.3693,2.3903
2024-08-12,2.3972,2.4442,2.3878,2.4429
2024-08-13,2.4363,2.441,2.3675,2.3747
2024-08-14,2.3824,2.3945,2.3158,2.3211
2024-08-15,2.335,2.3723,2.3133,2.358
2024-08-16,2.3557,2.3656,2.3071,2.3102
2024-08-19,2.3163,2.3184,2.2557,2.2638
2024-08-20,2.276,2.2821,2.2329,2.2563
2024-08-21,2.2511,2.2615,2.181,2.205
2024-08-22,2.2041,2.2492,2.1908,2.2437
2024-08-23,2.2395,2.289,2.2359,2.2851
2024-08-26,2.2984,2.3323,2.2783,2.2799
2024-08-27,2.2834,2.2967,2.2275,2.2469
2024-08-28,2.2469,2.2494,2.1944,2.2148
2024-08-29,2.209,2.264,2.1983,2.2477
2024-08-30,2.245,2.2673,2.2028,2.2117
2024-09-03,2.0936,2.0936,1.9648,1.9777
2024-09-04,1.9782,2.0013,1.9461,1.9618
2024-09-05,1.9489,1.9734,1.9141,1.9258
2024-09-06,1.9362,1.9593,1.8757,1.896
2024-09-09,1.9034,1.9504,1.8964,1.9204
2024-09-10,1.9327,1.9466,1.8584,1.87
2024-09-11,1.8845,1.92,1.8545,1.8972
2024-09-12,1.8922,1.9487,1.8914,1.927
2024-09-13,1.9368,1.9717,1.9279,1.9302
2024-09-16,1.9396,1.9852,1.9215,1.9682
2024-09-17,1.9773,2.0055,1.9589,2.0019
2024-09-18,1.9916,2.021,1.9642,2.0107
2024-09-19,1.9994,2.0674,1.9949,2.06
2024-09-20,2.0607,2.0627,2.0317,2.0364
2024-09-23,2.0465,2.0549,1.971,1.9902
2024-09-24,2.0024,2.0479,1.9969,2.0297
2024-09-25,2.0311,2.0339,1.9768,1.9999
2024-09-26,2.0018,2.0104,1.9451,1.9613
2024-09-27,1.9479,1.975,1.9299,1.953
2024-09-30,1.953,1.9857,1.953,1.9621
2024-10-01,1.9308,2.0077,1.8812,1.9666
2024-10-02,1.9933,2.029,1.9612,1.9859
2024-10-03,2.0123,2.1041,1.998,2.0926
2024-10-04,2.0943,2.1258,2.0822,2.0958
2024-10-07,2.096,2.1673,2.0741,2.1538
2024-10-08,2.155,2.1753,2.0449,2.0681
2024-10-09,2.0699,2.0866,2.02,2.0664
2024-10-10,2.0659,2.1581,2.0644,2.1509
2024-10-11,2.1459,2.1646,2.1175,2.1516
2024-10-14,2.1461,2.1461,2.0609,2.1086
2024-10-15,2.0546,2.0714,2.0085,2.0377
2024-10-16,2.0396,2.0536,2.0158,2.0403
2024-10-17,2.0486,2.0608,2.0073,2.0468
2024-10-18,2.0355,2.0548,1.9863,2.002
2024-10-21,2.0055,2.045,1.9964,2.0147
2024-10-22,2.0023,2.075,1.9946,2.0715
2024-10-23,2.0652,2.0758,2.027,2.0414
2024-10-24,2.0457,2.0758,2.014,2.0277
2024-10-25,2.034,2.0841,2.0225,2.0785
2024-10-28,2.052,2.052,1.9618,1.9664
2024-10-29,1.9779,1.9923,1.9339,1.9518
2024-10-30,1.9572,2.0063,1.9563,1.9957
2024-10-31,1.9941,2.0173,1.9941,2.0035
2024-11-01,2.001,2.0244,1.9633,1.9665
2024-11-04,1.9815,2.0329,1.9813,2.0192
2024-11-05,2.0291,2.0606,2.0174,2.0446
2024-11-06,2.0418,2.0577,1.981,2.0354
2024-11-07,2.0397,2.0618,2.0117,2.0536
2024-11-08,2.0499,2.051,1.9985,2.0125
2024-11-11,2.0127,2.0219,1.9554,1.957
2024-11-12,1.9606,1.9934,1.9491,1.9643
2024-11-13,1.9613,1.985,1.93,1.9651
2024-11-14,1.954,1.995,1.9477,1.9817
2024-11-15,1.9778,1.9935,1.946,1.9493
2024-11-18,1.9453,2.0255,1.94,2.0183
