date,open,high,low,close
2023-09-15,2950.000,3060.000,2790.000,2859.000
2023-09-18,2858.000,2922.000,2836.000,2904.000
2023-09-19,2913.000,3086.000,2898.000,3040.000
2023-09-20,3058.000,3148.000,3038.000,3113.000
2023-09-21,3116.000,3118.000,3033.000,3049.000
2023-09-22,3061.000,3106.000,3051.000,3070.000
2023-09-25,3078.000,3094.000,2930.000,2945.000
2023-09-26,2946.000,2970.000,2870.000,2902.000
2023-09-27,2908.000,2943.000,2860.000,2888.000
2023-09-28,2898.000,2905.000,2797.000,2800.000
2023-10-09,2795.000,2839.000,2750.000,2779.000
2023-10-10,2783.000,2783.000,2626.000,2720.000
2023-10-11,2716.000,2743.000,2657.000,2704.000
2023-10-12,2695.000,2765.000,2677.000,2749.000
2023-10-13,2752.000,2765.000,2666.000,2682.000
2023-10-16,2706.000,2713.000,2641.000,2658.000
2023-10-17,2650.000,2655.000,2561.000,2569.000
2023-10-18,2571.000,2604.000,2563.000,2584.000
2023-10-19,2570.000,2578.000,2506.000,2527.000
2023-10-20,2525.000,2572.000,2504.000,2533.000
2023-10-23,2531.000,2582.000,2519.000,2545.000
2023-10-24,2543.000,2596.000,2525.000,2583.000
2023-10-25,2587.000,2609.000,2555.000,2557.000
2023-10-26,2551.000,2578.000,2525.000,2552.000
2023-10-27,2539.000,2581.000,2538.000,2571.000
2023-10-30,2572.000,2611.000,2557.000,2594.000
2023-10-31,2590.000,2638.000,2582.000,2621.000
2023-11-01,2625.000,2629.000,2566.000,2574.000
2023-11-02,2579.000,2588.000,2554.000,2579.000
2023-11-03,2590.000,2636.000,2590.000,2620.000
2023-11-06,2635.000,2689.000,2626.000,2684.000
2023-11-07,2687.000,2700.000,2632.000,2642.000
2023-11-08,2638.000,2668.000,2636.000,2665.000
2023-11-09,2656.000,2656.000,2552.000,2631.000
2023-11-10,2641.000,2752.000,2635.000,2682.000
2023-11-13,2678.000,2695.000,2622.000,2630.000
2023-11-14,2643.000,2677.000,2637.000,2672.000
2023-11-15,2670.000,2701.000,2651.000,2665.000
2023-11-16,2655.000,2684.000,2644.000,2677.000
2023-11-17,2680.000,2719.000,2665.000,2686.000
2023-11-20,2690.000,2696.000,2657.000,2677.000
2023-11-21,2683.000,2704.000,2600.000,2612.000
2023-11-22,2613.000,2632.000,2547.000,2591.000
2023-11-23,2595.000,2626.000,2566.000,2604.000
2023-11-24,2601.000,2615.000,2562.000,2611.000
2023-11-27,2609.000,2638.000,2575.000,2583.000
2023-11-28,2580.000,2617.000,2566.000,2593.000
2023-11-29,2601.000,2685.000,2585.000,2657.000
2023-11-30,2661.000,2692.000,2631.000,2683.000
2023-12-01,2672.000,2691.000,2634.000,2674.000
2023-12-04,2655.000,2677.000,2611.000,2619.000
2023-12-05,2613.000,2613.000,2568.000,2575.000
2023-12-06,2567.000,2607.000,2560.000,2590.000
2023-12-07,2570.000,2597.000,2523.000,2564.000
2023-12-08,2567.000,2745.000,2551.000,2642.000
2023-12-11,2628.000,2677.000,2592.000,2651.000
2023-12-12,2647.000,2709.000,2632.000,2680.000
2023-12-13,2677.000,2691.000,2636.000,2660.000
2023-12-14,2663.000,2702.000,2655.000,2670.000
2023-12-15,2682.000,2697.000,2661.000,2673.000
2023-12-18,2676.000,2679.000,2647.000,2672.000
2023-12-19,2663.000,2711.000,2656.000,2664.000
2023-12-20,2661.000,2712.000,2661.000,2692.000
2023-12-21,2705.000,2748.000,2675.000,2744.000
2023-12-22,2752.000,2972.000,2743.000,2814.000
2023-12-25,2801.000,2851.000,2768.000,2836.000
2023-12-26,2837.000,2893.000,2808.000,2817.000
2023-12-27,2820.000,2842.000,2783.000,2794.000
2023-12-28,2794.000,2850.000,2766.000,2838.000
2023-12-29,2838.000,2871.000,2816.000,2823.000
2024-01-02,2826.000,2906.000,2820.000,2853.000
2024-01-03,2825.000,2876.000,2786.000,2811.000
2024-01-04,2815.000,2840.000,2682.000,2736.000
2024-01-05,2740.000,2752.000,2694.000,2745.000
2024-01-08,2752.000,2774.000,2680.000,2692.000
2024-01-09,2688.000,2716.000,2629.000,2699.000
2024-01-10,2710.000,2718.000,2662.000,2669.000
2024-01-11,2661.000,2702.000,2638.000,2685.000
2024-01-12,2689.000,2733.000,2673.000,2709.000
2024-01-15,2716.000,2726.000,2688.000,2706.000
2024-01-16,2702.000,2741.000,2702.000,2732.000
2024-01-17,2754.000,2755.000,2720.000,2728.000
2024-01-18,2724.000,2790.000,2714.000,2782.000
2024-01-19,2781.000,2803.000,2762.000,2769.000
2024-01-22,2760.000,2858.000,2760.000,2820.000
2024-01-23,2820.000,2829.000,2782.000,2795.000
2024-01-24,2790.000,2816.000,2765.000,2787.000
2024-01-25,2787.000,2806.000,2771.000,2780.000
2024-01-26,2781.000,2781.000,2716.000,2722.000
2024-01-29,2715.000,2748.000,2707.000,2722.000
2024-01-30,2722.000,2736.000,2690.000,2697.000
2024-01-31,2697.000,2718.000,2682.000,2714.000
2024-02-01,2715.000,2728.000,2665.000,2670.000
2024-02-02,2670.000,2688.000,2655.000,2685.000
2024-02-05,2685.000,2712.000,2668.000,2698.000
2024-02-06,2698.000,2708.000,2662.000,2699.000
2024-02-07,2702.000,2709.000,2630.000,2652.000
