date,open,high,low,close
2015-03-27,16025.000,16060.000,15880.000,15905.000
2015-03-30,119270.000,119530.000,115600.000,118080.000
2015-03-31,117650.000,119800.000,115960.000,118160.000
2015-04-01,117800.000,118880.000,117080.000,117910.000
2015-04-02,117970.000,119080.000,117970.000,118700.000
2015-04-03,118600.000,119470.000,118560.000,118840.000
2015-04-07,118890.000,119090.000,118270.000,118970.000
2015-04-08,118710.000,118890.000,117150.000,117840.000
2015-04-09,117570.000,117980.000,116500.000,116790.000
2015-04-10,116500.000,116980.000,115320.000,115990.000
2015-04-13,115960.000,116290.000,115270.000,115510.000
2015-04-14,115550.000,115650.000,112500.000,112500.000
2015-04-15,112420.000,114140.000,112320.000,113750.000
2015-04-16,112530.000,113700.000,111010.000,112880.000
2015-04-17,113000.000,113000.000,109300.000,110000.000
2015-04-20,112000.000,112950.000,111120.000,111440.000
2015-04-21,111530.000,111880.000,111100.000,111550.000
2015-04-22,112190.000,113290.000,112190.000,112940.000
2015-04-23,113400.000,113760.000,112960.000,113300.000
2015-04-24,113350.000,113950.000,112750.000,113940.000
2015-04-27,114400.000,117960.000,114400.000,117960.000
2015-04-28,117970.000,118550.000,116500.000,117400.000
2015-04-29,117140.000,117720.000,115120.000,115370.000
2015-04-30,116000.000,119890.000,115380.000,117750.000
2015-05-04,118530.000,119500.000,117890.000,118820.000
2015-05-05,119000.000,119780.000,118000.000,118680.000
2015-05-06,119640.000,123670.000,119600.000,123400.000
2015-05-07,123300.000,125910.000,121500.000,122030.000
2015-05-08,122600.000,122960.000,120020.000,121290.000
2015-05-11,120890.000,122690.000,120710.000,122400.000
2015-05-12,121100.000,121930.000,119690.000,119970.000
2015-05-13,120800.000,121100.000,120000.000,120700.000
2015-05-14,120700.000,122480.000,117800.000,119500.000
2015-05-15,119190.000,119680.000,118610.000,119100.000
2015-05-18,118690.000,119940.000,118030.000,119250.000
2015-05-19,119520.000,119650.000,118070.000,118140.000
2015-05-20,117690.000,117960.000,114160.000,115860.000
2015-05-21,116350.000,120400.000,115220.000,119180.000
2015-05-22,119500.000,119730.000,116900.000,117980.000
2015-05-25,117170.000,119800.000,116800.000,117580.000
2015-05-26,117600.000,119570.000,117600.000,118270.000
2015-05-27,116760.000,117570.000,116200.000,116510.000
2015-05-28,116010.000,117510.000,115720.000,116980.000
2015-05-29,116900.000,116900.000,115680.000,116160.000
2015-06-01,116090.000,116350.000,115670.000,116210.000
2015-06-02,116120.000,117000.000,115780.000,116490.000
2015-06-03,116740.000,116800.000,115060.000,115520.000
2015-06-04,115330.000,115900.000,114500.000,114750.000
2015-06-05,114640.000,114980.000,114260.000,114260.000
2015-06-08,113990.000,114940.000,113910.000,114700.000
2015-06-09,114710.000,115600.000,114710.000,114930.000
2015-06-10,115340.000,115550.000,114850.000,115450.000
2015-06-11,115490.000,115670.000,115300.000,115420.000
2015-06-12,114420.000,114700.000,113520.000,113700.000
2015-06-15,113410.000,113660.000,112810.000,113090.000
2015-06-16,111720.000,112650.000,111700.000,111780.000
2015-06-17,111990.000,112230.000,111210.000,111730.000
2015-06-18,112290.000,112600.000,111820.000,112490.000
2015-06-19,113010.000,114450.000,112470.000,113770.000
2015-06-23,113360.000,114330.000,113360.000,114110.000
2015-06-24,113680.000,114150.000,112580.000,113130.000
2015-06-25,112820.000,113300.000,109470.000,111220.000
2015-06-26,111280.000,111920.000,109800.000,110110.000
2015-06-29,109100.000,110800.000,109000.000,109820.000
2015-06-30,109000.000,109400.000,105740.000,106050.000
2015-07-01,104010.000,107740.000,104010.000,106700.000
2015-07-02,109800.000,109990.000,108560.000,109580.000
2015-07-03,110370.000,111140.000,109950.000,109990.000
2015-07-06,107960.000,109850.000,106510.000,107040.000
2015-07-07,108500.000,109190.000,106800.000,107080.000
2015-07-08,106000.000,106430.000,103710.000,103710.000
2015-07-09,104670.000,110020.000,104010.000,107800.000
2015-07-10,107000.000,108790.000,106500.000,107620.000
2015-07-13,107750.000,108500.000,106900.000,107550.000
2015-07-14,108300.000,108500.000,105000.000,108500.000
2015-07-15,108500.000,108900.000,108100.000,108500.000
2015-07-16,108500.000,108900.000,108100.000,111110.000
2015-07-17,108500.000,108900.000,108100.000,110820.000
2015-07-20,108500.000,108900.000,108100.000,111920.000
2015-07-22,110780.000,111190.000,108560.000,108800.000
2015-07-23,108250.000,108940.000,108060.000,108940.000
2015-07-24,109200.000,109490.000,108120.000,108210.000
2015-07-27,108280.000,111400.000,107030.000,108170.000
2015-07-28,108400.000,109940.000,107920.000,109820.000
2015-07-29,110980.000,112360.000,110800.000,111770.000
2015-07-30,111260.000,111780.000,110120.000,110180.000
2015-07-31,109600.000,111140.000,109280.000,109960.000
2015-08-03,110440.000,111370.000,108720.000,108720.000
2015-08-04,107800.000,108860.000,107500.000,108750.000
2015-08-05,108900.000,109190.000,106900.000,107490.000
2015-08-06,107500.000,108480.000,106390.000,107350.000
2015-08-07,107600.000,108080.000,106790.000,107410.000
2015-08-10,107100.000,107960.000,106510.000,107810.000
2015-08-11,107400.000,111350.000,107260.000,108490.000
2015-08-12,108100.000,108620.000,107070.000,108400.000
2015-08-13,108620.000,109320.000,107500.000,107790.000
2015-08-14,107620.000,108210.000,107200.000,107200.000
2015-08-17,109200.000,109200.000,107060.000,107390.000
2015-08-18,107330.000,107770.000,106800.000,107160.000
2015-08-19,106710.000,107360.000,106550.000,107280.000
2015-08-20,107560.000,108680.000,106680.000,106940.000
2015-08-21,107100.000,107450.000,105310.000,105380.000
2015-08-24,104000.000,105790.000,101980.000,101980.000
2015-08-25,100050.000,101370.000,100010.000,100830.000
2015-08-26,100710.000,102040.000,100210.000,100210.000
2015-08-27,99580.000,100460.000,98210.000,100110.000
2015-08-28,100090.000,102980.000,99610.000,101000.000
2015-08-31,101000.000,102090.000,99210.000,99500.000
2015-09-01,100490.000,100500.000,99510.000,99820.000
2015-09-02,100500.000,100580.000,97210.000,99600.000
2015-09-03,100500.000,100580.000,97210.000,99280.000
2015-09-07,100000.000,100000.000,97630.000,100000.000
2015-09-08,98240.000,100150.000,97630.000,100150.000
2015-09-09,101570.000,102200.000,100000.000,100400.000
2015-09-10,100020.000,100550.000,100020.000,100550.000
2015-09-14,103180.000,103760.000,102030.000,102120.000
2015-09-15,102170.000,102520.000,101160.000,101460.000
2015-09-16,102150.000,102400.000,101560.000,102190.000
2015-09-17,102480.000,102480.000,101830.000,101850.000
2015-09-18,101040.000,101800.000,101040.000,101300.000
2015-09-21,101310.000,101310.000,99520.000,100550.000
