date,open,high,low,close
2024-06-17,1179.0,1179.0,1157.5,1157.75
2024-06-18,1158.25,1175.75,1156.5,1174.0
2024-06-20,1173.0,1175.75,1155.0,1155.25
2024-06-21,1156.0,1168.75,1156.0,1160.5
2024-06-24,1160.5,1179.5,1156.25,1175.25
2024-06-25,1175.0,1180.0,1157.75,1163.25
2024-06-26,1163.0,1177.5,1160.0,1162.75
2024-06-27,1161.5,1169.5,1150.75,1152.25
2024-06-28,1152.0,1167.0,1146.25,1150.5
2024-07-01,1148.25,1161.75,1148.25,1159.5
2024-07-02,1159.25,1175.0,1159.25,1165.0
2024-07-03,1162.25,1180.25,1162.0,1176.5
2024-07-05,1172.25,1191.5,1172.25,1188.5
2024-07-08,1181.75,1181.75,1167.25,1174.25
2024-07-09,1177.0,1185.0,1160.0,1161.5
2024-07-10,1165.25,1165.25,1135.75,1141.25
2024-07-11,1145.0,1145.0,1137.0,1142.75
2024-07-12,1134.5,1134.5,1134.5,1134.5
2024-07-15,1100.0,1101.0,1075.75,1078.0
2024-07-16,1076.75,1096.5,1076.75,1090.5
2024-07-17,1090.0,1102.5,1090.0,1097.25
2024-07-18,1097.5,1101.0,1089.0,1098.5
2024-07-19,1098.0,1107.75,1095.0,1097.25
2024-07-22,1100.5,1119.75,1100.5,1117.75
2024-07-23,1116.5,1129.0,1111.0,1117.5
2024-07-24,1115.25,1123.25,1104.5,1111.0
2024-07-25,1111.0,1120.5,1103.5,1116.0
2024-07-26,1113.25,1117.25,1071.5,1077.5
2024-07-29,1073.75,1073.75,1030.75,1054.75
2024-07-30,1054.75,1059.0,1023.75,1027.25
2024-07-31,1027.25,1048.5,1020.5,1028.5
2024-08-01,1030.0,1034.0,1019.5,1022.0
2024-08-02,1022.0,1031.5,1019.0,1029.25
2024-08-05,1040.0,1045.0,1021.5,1044.25
2024-08-06,1033.0,1038.25,1028.5,1028.5
2024-08-07,1020.75,1023.25,1017.25,1020.25
2024-08-08,1023.25,1023.25,1009.75,1009.75
2024-08-09,1018.0,1028.0,1014.5,1028.0
2024-08-12,1020.5,1038.25,1012.0,1012.0
2024-08-13,1003.0,1003.0,989.0,989.0
2024-08-14,989.5,989.75,979.75,979.75
2024-08-15,951.75,961.0,950.5,951.5
2024-08-16,950.5,952.5,936.25,938.75
2024-08-19,938.0,957.5,938.0,956.25
2024-08-20,955.25,966.25,950.75,957.25
2024-08-21,957.0,966.0,955.5,963.0
2024-08-22,962.0,963.0,940.0,941.25
2024-08-23,941.75,954.0,941.25,952.0
2024-08-26,943.5,961.25,939.25,959.75
2024-08-27,959.0,971.75,957.0,967.5
2024-08-28,968.25,969.5,953.5,958.5
2024-08-29,957.25,975.0,957.0,973.75
2024-08-30,974.5,987.5,971.5,982.0
2024-09-03,978.75,1007.5,978.75,997.0
2024-09-04,987.5,1006.0,987.5,1006.0
2024-09-05,999.5,1008.25,999.5,1008.25
2024-09-06,1008.0,1008.0,989.25,989.25
2024-09-09,1000.25,1000.25,1000.0,1000.0
2024-09-10,980.25,981.75,977.5,977.5
2024-09-11,978.25,979.75,978.25,979.75
2024-09-12,987.5,991.5,987.5,991.5
2024-09-13,986.75,986.75,986.75,986.75
2024-09-16,1005.0,1012.0,999.0,1004.5
2024-09-17,1003.75,1011.0,1002.0,1006.0
2024-09-18,1007.0,1022.0,1006.25,1014.0
2024-09-19,1015.0,1018.25,1006.75,1013.25
2024-09-20,1012.5,1019.0,1001.25,1012.0
2024-09-23,1012.0,1041.75,1012.0,1039.25
2024-09-24,1037.0,1058.25,1032.75,1042.25
2024-09-25,1042.0,1054.5,1031.25,1053.25
2024-09-26,1051.75,1064.75,1039.75,1041.0
2024-09-27,1039.75,1069.5,1034.25,1065.75
2024-09-30,1060.25,1069.75,1052.0,1057.0
2024-10-01,1055.75,1065.5,1045.0,1057.25
2024-10-02,1055.0,1063.75,1042.5,1056.0
2024-10-03,1053.75,1056.25,1041.75,1046.0
2024-10-04,1045.0,1055.25,1036.25,1037.75
2024-10-07,1033.5,1039.0,1026.5,1034.0
2024-10-08,1032.5,1039.5,1011.5,1016.25
2024-10-09,1015.0,1027.25,1011.5,1020.25
2024-10-10,1019.75,1025.5,1011.75,1014.75
2024-10-11,1014.5,1023.75,1004.0,1005.5
2024-10-14,1002.0,1008.5,995.5,996.0
2024-10-15,995.0,996.0,981.0,991.0
2024-10-16,991.0,1001.5,978.25,980.0
2024-10-17,978.75,991.25,968.25,988.75
2024-10-18,989.5,995.5,969.25,970.0
2024-10-21,970.0,983.75,969.0,981.0
2024-10-22,980.5,997.0,976.75,991.75
2024-10-23,992.0,999.75,985.0,997.5
2024-10-24,997.5,1012.25,994.25,996.25
2024-10-25,996.25,996.25,984.0,987.75
2024-10-28,984.0,985.5,973.5,974.0
2024-10-29,974.75,980.5,965.0,965.25
2024-10-30,965.0,979.0,963.75,976.5
2024-10-31,977.5,985.5,975.5,982.5
2024-11-01,984.25,997.25,978.25,982.5
2024-11-04,990.0,995.0,982.5,987.25
2024-11-05,992.25,996.75,991.0,993.75
2024-11-06,991.75,997.5,973.0,994.5
2024-11-07,997.0,1015.5,989.75,1015.5
2024-11-08,1015.0,1030.0,1006.0,1016.75
2024-11-11,1020.75,1025.75,1011.0,1011.75
2024-11-12,1011.75,1011.75,998.75,1003.5
2024-11-13,1001.25,1004.25,999.0,1004.25
2024-11-14,990.25,990.25,985.75,985.75
2024-11-15,988.0,1005.25,987.25,998.5
2024-11-18,1002.5,1011.5,989.5,1009.75
