date,open,high,low,close
2019-09-25,15090.000,15435.000,14980.000,15200.000
2019-09-26,15565.000,15935.000,15550.000,15705.000
2019-09-27,15715.000,15800.000,15580.000,15725.000
2019-09-30,15735.000,15790.000,15635.000,15700.000
2019-10-08,15630.000,15800.000,15545.000,15675.000
2019-10-09,15630.000,15695.000,15630.000,15675.000
2019-10-10,15685.000,15895.000,15600.000,15765.000
2019-10-11,15800.000,15800.000,15705.000,15745.000
2019-10-14,15775.000,15830.000,15735.000,15765.000
2019-10-15,15735.000,15820.000,15165.000,15440.000
2019-10-16,15405.000,15585.000,15405.000,15490.000
2019-10-17,15465.000,15510.000,15115.000,15180.000
2019-10-18,15175.000,15245.000,14790.000,15020.000
2019-10-21,15180.000,15200.000,14680.000,14850.000
2019-10-22,14850.000,14980.000,14770.000,14895.000
2019-10-23,14940.000,15150.000,14840.000,14975.000
2019-10-24,14975.000,15130.000,14940.000,15005.000
2019-10-25,15060.000,15080.000,14815.000,14960.000
2019-10-28,14960.000,15065.000,14855.000,15005.000
2019-10-29,15065.000,15225.000,14965.000,15025.000
2019-10-30,15020.000,15065.000,14965.000,15065.000
2019-10-31,15115.000,15115.000,14925.000,14985.000
2019-11-01,14990.000,15000.000,14850.000,15000.000
2019-11-04,14955.000,15005.000,14950.000,14975.000
2019-11-05,14960.000,15000.000,14875.000,14910.000
2019-11-06,14910.000,14975.000,14865.000,14930.000
2019-11-07,14955.000,14965.000,14850.000,14920.000
2019-11-08,14940.000,14940.000,14775.000,14780.000
2019-11-11,14765.000,14780.000,14200.000,14210.000
2019-11-12,14205.000,14425.000,14170.000,14385.000
2019-11-13,14345.000,14480.000,14250.000,14360.000
2019-11-14,14350.000,14430.000,14270.000,14370.000
2019-11-15,14365.000,14440.000,14200.000,14375.000
2019-11-18,14375.000,14405.000,14115.000,14300.000
2019-11-19,14205.000,14505.000,14205.000,14380.000
2019-11-20,14380.000,14485.000,14335.000,14415.000
2019-11-21,14400.000,14405.000,14260.000,14375.000
2019-11-22,14420.000,14580.000,14315.000,14530.000
2019-11-25,14540.000,14595.000,14455.000,14525.000
2019-11-26,14555.000,14565.000,14355.000,14370.000
2019-11-27,14360.000,14380.000,14185.000,14220.000
2019-11-28,14220.000,14260.000,14095.000,14110.000
2019-11-29,14080.000,14135.000,14000.000,14005.000
2019-12-02,13975.000,14075.000,13905.000,13930.000
2019-12-03,13930.000,14075.000,13925.000,14020.000
2019-12-04,14015.000,14095.000,13835.000,13850.000
2019-12-05,13870.000,13980.000,13765.000,13880.000
2019-12-06,13875.000,14015.000,13850.000,13950.000
2019-12-09,13970.000,14130.000,13785.000,13935.000
2019-12-10,13920.000,14030.000,13860.000,13985.000
2019-12-11,13985.000,14280.000,13940.000,14200.000
2019-12-12,14275.000,14395.000,14200.000,14235.000
2019-12-13,14265.000,14295.000,14115.000,14275.000
2019-12-16,14350.000,14375.000,14190.000,14255.000
2019-12-17,14220.000,14325.000,14220.000,14300.000
2019-12-18,14300.000,14345.000,14230.000,14295.000
2019-12-19,14290.000,14395.000,14255.000,14395.000
2019-12-20,14410.000,14430.000,14310.000,14340.000
2019-12-23,14340.000,14470.000,14330.000,14440.000
2019-12-24,14440.000,14480.000,14235.000,14310.000
2019-12-25,14330.000,14330.000,14240.000,14240.000
2019-12-26,14240.000,14290.000,14240.000,14270.000
2019-12-27,14260.000,14320.000,14070.000,14240.000
2019-12-30,14220.000,14355.000,14220.000,14345.000
2019-12-31,14175.000,14860.000,14175.000,14410.000
2020-01-02,14390.000,14400.000,13795.000,13805.000
2020-01-03,13805.000,13935.000,13745.000,13750.000
2020-01-06,13750.000,13975.000,13730.000,13895.000
2020-01-07,13930.000,13965.000,13850.000,13930.000
2020-01-08,13970.000,14100.000,13905.000,13965.000
2020-01-09,13925.000,14065.000,13925.000,13950.000
2020-01-10,14000.000,14100.000,13925.000,14065.000
2020-01-13,14115.000,14140.000,14000.000,14030.000
2020-01-14,13980.000,14030.000,13830.000,13840.000
2020-01-15,13875.000,13895.000,13815.000,13830.000
2020-01-16,13845.000,13950.000,13845.000,13935.000
2020-01-17,13950.000,14010.000,13790.000,13840.000
2020-01-20,13810.000,13870.000,13810.000,13860.000
2020-01-21,13820.000,13940.000,13795.000,13865.000
2020-01-22,13875.000,13915.000,13760.000,13850.000
2020-01-23,13820.000,13850.000,13680.000,13705.000
2020-02-03,13485.000,13485.000,12920.000,13030.000
2020-02-04,13090.000,13295.000,13020.000,13245.000
2020-02-05,13185.000,13330.000,13160.000,13235.000
2020-02-06,13260.000,13360.000,13230.000,13265.000
2020-02-07,13260.000,13300.000,13185.000,13270.000
2020-02-10,13210.000,13325.000,13185.000,13290.000
2020-02-11,13260.000,13425.000,13260.000,13395.000
2020-02-12,13425.000,13560.000,13390.000,13500.000
2020-02-13,13560.000,13650.000,13465.000,13465.000
2020-02-14,13450.000,13580.000,13280.000,13295.000
2020-02-17,13350.000,13365.000,13300.000,13345.000
2020-02-18,13315.000,13340.000,13215.000,13250.000
2020-02-19,13220.000,13275.000,13175.000,13175.000
2020-02-20,13160.000,13250.000,13155.000,13250.000
2020-02-21,13250.000,13325.000,13195.000,13200.000
2020-02-24,13175.000,13220.000,13040.000,13085.000
2020-02-25,13070.000,13070.000,12960.000,12980.000
2020-02-26,12960.000,12985.000,12650.000,12660.000
2020-02-27,12660.000,12800.000,12645.000,12690.000
2020-02-28,12680.000,12680.000,12390.000,12470.000
2020-03-02,12500.000,12735.000,12485.000,12650.000
2020-03-03,12680.000,12850.000,12640.000,12675.000
2020-03-04,12700.000,12725.000,12550.000,12580.000
2020-03-05,12570.000,12710.000,12510.000,12645.000
2020-03-06,12650.000,12665.000,12550.000,12595.000
2020-03-09,12400.000,12450.000,12110.000,12200.000
2020-03-10,12230.000,12525.000,12230.000,12445.000
2020-03-11,12460.000,12470.000,12330.000,12370.000
2020-03-12,12340.000,12345.000,12150.000,12260.000
2020-03-13,12050.000,12295.000,11990.000,12180.000
2020-03-16,12195.000,12400.000,12170.000,12215.000
2020-03-17,12215.000,12220.000,12100.000,12200.000
2020-03-18,12190.000,12275.000,12020.000,12045.000
2020-03-19,12135.000,12135.000,11700.000,11945.000
2020-03-20,11950.000,12045.000,11905.000,11985.000
2020-03-23,11865.000,11900.000,11680.000,11800.000
2020-03-24,11800.000,11880.000,11730.000,11800.000
2020-03-25,11900.000,11980.000,11855.000,11980.000
2020-03-26,12000.000,12040.000,11920.000,11950.000
2020-03-27,12000.000,12080.000,11910.000,12070.000
2020-03-30,12030.000,12035.000,11820.000,11880.000
2020-03-31,11890.000,12045.000,11890.000,11980.000
2020-04-01,11995.000,12060.000,11930.000,11985.000
2020-04-02,11935.000,11995.000,11825.000,11955.000
2020-04-03,12030.000,12035.000,11910.000,11915.000
2020-04-07,11985.000,12190.000,11950.000,12050.000
2020-04-08,12030.000,12245.000,11980.000,12205.000
2020-04-09,12245.000,12320.000,12160.000,12295.000
2020-04-10,12405.000,12470.000,12270.000,12455.000
2020-04-13,12395.000,12695.000,12380.000,12510.000
2020-04-14,12635.000,12840.000,12550.000,12805.000
2020-04-15,12820.000,13225.000,12795.000,12860.000
2020-04-16,12845.000,12845.000,12670.000,12695.000
2020-04-17,12780.000,12960.000,12760.000,12945.000
2020-04-20,12940.000,13390.000,12895.000,13320.000
2020-04-21,13300.000,13520.000,12740.000,13030.000
2020-04-22,13015.000,13060.000,12840.000,12950.000
2020-04-23,12995.000,13170.000,12875.000,13035.000
2020-04-24,12960.000,13180.000,12830.000,12940.000
2020-04-27,12980.000,13040.000,12840.000,12915.000
2020-04-28,12820.000,12940.000,12510.000,12885.000
2020-04-29,12885.000,13035.000,12770.000,12820.000
2020-04-30,12880.000,12880.000,12770.000,12860.000
2020-05-06,12840.000,13245.000,12800.000,13215.000
2020-05-07,13200.000,13465.000,12930.000,13115.000
2020-05-08,13240.000,13245.000,13080.000,13190.000
2020-05-11,13300.000,13730.000,13200.000,13675.000
2020-05-12,13670.000,13720.000,13420.000,13435.000
2020-05-13,13465.000,13550.000,13320.000,13505.000
2020-05-14,13500.000,13550.000,13305.000,13420.000
2020-05-15,13390.000,13425.000,13260.000,13340.000
2020-05-18,13310.000,13510.000,13275.000,13425.000
