date,open,high,low,close
2009-05-25,6575.000,6630.000,6435.000,6490.000
2009-05-26,6485.000,6540.000,6445.000,6460.000
2009-05-27,6500.000,6535.000,6460.000,6485.000
2009-06-01,6555.000,6595.000,6520.000,6570.000
2009-06-02,6590.000,6590.000,6545.000,6555.000
2009-06-03,6565.000,6595.000,6550.000,6580.000
2009-06-04,6620.000,6905.000,6605.000,6635.000
2009-06-05,6590.000,6695.000,6575.000,6655.000
2009-06-08,6650.000,6970.000,6620.000,6970.000
2009-06-09,7020.000,7160.000,6910.000,7040.000
2009-06-10,7120.000,7130.000,6955.000,6990.000
2009-06-11,7025.000,7050.000,6930.000,6930.000
2009-06-12,6955.000,6970.000,6790.000,6820.000
2009-06-15,6800.000,6910.000,6755.000,6855.000
2009-06-16,6805.000,6890.000,6800.000,6850.000
2009-06-17,6830.000,6990.000,6800.000,6940.000
2009-06-18,6965.000,7085.000,6910.000,6945.000
2009-06-19,6970.000,7015.000,6890.000,6915.000
2009-06-22,6850.000,6930.000,6815.000,6815.000
2009-06-23,6755.000,6810.000,6715.000,6770.000
2009-06-24,6795.000,6795.000,6715.000,6770.000
2009-06-25,6770.000,6865.000,6750.000,6830.000
2009-06-26,6880.000,6920.000,6825.000,6885.000
2009-06-29,6865.000,6865.000,6770.000,6775.000
2009-06-30,6820.000,6915.000,6800.000,6885.000
2009-07-01,6855.000,6905.000,6820.000,6855.000
2009-07-02,6830.000,6895.000,6815.000,6830.000
2009-07-03,6800.000,6880.000,6770.000,6855.000
2009-07-06,6850.000,6955.000,6840.000,6870.000
2009-07-07,6890.000,6930.000,6880.000,6925.000
2009-07-08,6890.000,6905.000,6845.000,6870.000
2009-07-09,6840.000,6870.000,6815.000,6865.000
2009-07-10,6880.000,6985.000,6865.000,6880.000
2009-07-13,6905.000,6910.000,6840.000,6845.000
2009-07-14,6870.000,6880.000,6840.000,6860.000
2009-07-15,6870.000,6950.000,6850.000,6930.000
2009-07-16,6955.000,7000.000,6890.000,6930.000
2009-07-17,6945.000,7030.000,6930.000,7000.000
2009-07-20,7030.000,7075.000,6990.000,7005.000
2009-07-21,7010.000,7010.000,6860.000,6905.000
2009-07-22,6905.000,6945.000,6865.000,6875.000
2009-07-23,6900.000,6915.000,6845.000,6895.000
2009-07-24,6900.000,6935.000,6880.000,6905.000
2009-07-27,7075.000,7260.000,7050.000,7245.000
2009-07-28,7245.000,7340.000,7195.000,7270.000
2009-07-29,7250.000,7360.000,7155.000,7220.000
2009-07-30,7200.000,7495.000,7185.000,7490.000
2009-07-31,7560.000,7750.000,7520.000,7660.000
2009-08-03,7745.000,7865.000,7550.000,7740.000
2009-08-04,7755.000,7815.000,7390.000,7520.000
2009-08-05,7600.000,7670.000,7460.000,7520.000
2009-08-06,7550.000,7785.000,7505.000,7735.000
2009-08-07,7705.000,7825.000,7540.000,7570.000
2009-08-10,7575.000,7740.000,7555.000,7675.000
2009-08-11,7645.000,8025.000,7635.000,7930.000
2009-08-12,7930.000,8035.000,7765.000,7785.000
2009-08-13,7900.000,7990.000,7815.000,7875.000
2009-08-14,7920.000,7950.000,7635.000,7670.000
2009-08-17,7505.000,7540.000,7345.000,7345.000
2009-08-18,7345.000,7410.000,7255.000,7330.000
2009-08-19,7420.000,7425.000,7015.000,7155.000
2009-08-20,7290.000,7315.000,7130.000,7260.000
2009-08-21,7200.000,7380.000,7170.000,7255.000
2009-08-24,7440.000,7510.000,7240.000,7380.000
2009-08-25,7310.000,7360.000,7185.000,7230.000
2009-08-26,7170.000,7295.000,7160.000,7230.000
2009-08-27,7220.000,7305.000,7180.000,7235.000
2009-08-28,7300.000,7325.000,7240.000,7265.000
2009-08-31,7295.000,7295.000,7100.000,7120.000
2009-09-01,7125.000,7140.000,6980.000,7035.000
2009-09-02,7000.000,7000.000,6820.000,6925.000
2009-09-03,6945.000,7045.000,6865.000,7015.000
2009-09-04,6985.000,7065.000,6955.000,7015.000
2009-09-07,7010.000,7050.000,6945.000,6955.000
2009-09-08,6935.000,6950.000,6825.000,6895.000
2009-09-09,6950.000,7015.000,6915.000,6970.000
2009-09-10,6950.000,6985.000,6905.000,6930.000
2009-09-11,6950.000,6980.000,6910.000,6915.000
2009-09-14,6690.000,6795.000,6605.000,6715.000
2009-09-15,6750.000,6775.000,6715.000,6770.000
2009-09-16,6805.000,6850.000,6760.000,6780.000
2009-09-17,6820.000,6830.000,6745.000,6760.000
2009-09-18,6750.000,6775.000,6685.000,6695.000
2009-09-21,6680.000,6745.000,6660.000,6720.000
2009-09-22,6710.000,6715.000,6675.000,6690.000
2009-09-23,6720.000,6720.000,6595.000,6620.000
2009-09-24,6600.000,6610.000,6500.000,6520.000
2009-09-25,6480.000,6480.000,6415.000,6440.000
2009-09-28,6430.000,6445.000,6160.000,6290.000
2009-09-29,6330.000,6335.000,6240.000,6280.000
2009-09-30,6305.000,6400.000,6245.000,6395.000
2009-10-09,6620.000,6745.000,6575.000,6575.000
2009-10-12,6600.000,6810.000,6580.000,6770.000
2009-10-13,6745.000,6790.000,6645.000,6700.000
2009-10-14,6745.000,6770.000,6695.000,6705.000
2009-10-15,6730.000,6855.000,6725.000,6755.000
2009-10-16,6825.000,6830.000,6705.000,6745.000
2009-10-19,6730.000,6890.000,6725.000,6825.000
2009-10-20,6855.000,6945.000,6840.000,6870.000
2009-10-21,6840.000,6840.000,6710.000,6740.000
2009-10-22,6840.000,6900.000,6720.000,6780.000
2009-10-23,6810.000,6860.000,6800.000,6845.000
2009-10-26,6820.000,6940.000,6770.000,6915.000
2009-10-27,6860.000,6905.000,6840.000,6870.000
2009-10-28,6865.000,6940.000,6810.000,6845.000
2009-10-29,6760.000,6795.000,6705.000,6715.000
2009-10-30,6795.000,6830.000,6750.000,6765.000
2009-11-02,6690.000,6760.000,6660.000,6740.000
2009-11-03,6740.000,6780.000,6715.000,6725.000
2009-11-04,6760.000,6780.000,6705.000,6730.000
2009-11-05,6735.000,6735.000,6665.000,6690.000
2009-11-06,6700.000,6740.000,6675.000,6735.000
2009-11-09,6730.000,6765.000,6715.000,6755.000
2009-11-10,6795.000,6980.000,6760.000,6960.000
2009-11-11,6995.000,7040.000,6955.000,6995.000
2009-11-12,7020.000,7100.000,6990.000,7050.000
2009-11-13,6980.000,7080.000,6950.000,7040.000
2009-11-16,7090.000,7185.000,7055.000,7055.000
2009-11-17,7100.000,7140.000,7040.000,7065.000
2009-11-18,7100.000,7220.000,7090.000,7150.000
2009-11-19,7150.000,7185.000,7080.000,7090.000
2009-11-20,7090.000,7110.000,7020.000,7075.000
2009-11-23,7100.000,7200.000,7100.000,7175.000
2009-11-24,7120.000,7260.000,7050.000,7085.000
2009-11-25,7105.000,7150.000,7075.000,7125.000
2009-11-26,7190.000,7190.000,7035.000,7095.000
2009-11-27,7080.000,7080.000,6750.000,6820.000
2009-11-30,6885.000,6975.000,6850.000,6905.000
2009-12-01,7195.000,7225.000,7105.000,7190.000
2009-12-02,7245.000,7310.000,7215.000,7290.000
2009-12-03,7270.000,7350.000,7260.000,7345.000
2009-12-04,7320.000,7425.000,7320.000,7375.000
2009-12-07,7380.000,7445.000,7300.000,7360.000
2009-12-08,7360.000,7705.000,7310.000,7655.000
2009-12-09,7620.000,7715.000,7550.000,7570.000
2009-12-10,7535.000,7680.000,7410.000,7515.000
2009-12-11,7565.000,7585.000,7475.000,7510.000
2009-12-14,7485.000,7695.000,7470.000,7655.000
2009-12-15,7700.000,7700.000,7550.000,7575.000
2009-12-16,7610.000,7675.000,7580.000,7650.000
2009-12-17,7700.000,7790.000,7585.000,7610.000
2009-12-18,7585.000,7675.000,7515.000,7530.000
2009-12-21,7555.000,7645.000,7475.000,7520.000
2009-12-22,7500.000,7555.000,7455.000,7465.000
2009-12-23,7505.000,7600.000,7430.000,7530.000
2009-12-24,7595.000,7625.000,7535.000,7595.000
2009-12-25,7630.000,7675.000,7575.000,7600.000
2009-12-28,7620.000,7695.000,7610.000,7645.000
2009-12-29,7645.000,7695.000,7600.000,7605.000
2009-12-30,7600.000,7745.000,7590.000,7675.000
2009-12-31,7700.000,7725.000,7645.000,7665.000
2010-01-04,7720.000,7730.000,7630.000,7635.000
2010-01-05,7685.000,7815.000,7655.000,7700.000
2010-01-06,7690.000,7750.000,7645.000,7655.000
2010-01-07,7695.000,7725.000,7340.000,7560.000
2010-01-08,7600.000,7600.000,7415.000,7470.000
2010-01-11,7950.000,8095.000,7950.000,8070.000
2010-01-12,8030.000,8080.000,7990.000,8035.000
2010-01-13,7870.000,7895.000,7750.000,7780.000
2010-01-14,7840.000,7860.000,7790.000,7840.000
2010-01-15,7820.000,7890.000,7740.000,7770.000
2010-01-18,7690.000,7810.000,7680.000,7795.000
2010-01-19,7800.000,7845.000,7750.000,7775.000
